State,County,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),High school graduate or higher (Population 25 years and over),Bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Alabama,Winston,"1,742",24.6%,36.4%,38.0%,1.0%,"17,353",11.5%,19.3%,33.5%,18.8%,5.9%,5.6%,5.6%,69.3%,11.1%,"2,640",72.5%,8.2%,"3,349",74.1%,10.3%,"7,186",74.5%,13.2%,"4,178",54.3%,10.1%,27.9%,16.3%,9.5%,5.9%,"22,698","15,756","21,243","28,112","36,750","50,316",332
Alaska,Aleutians East,371,31.8%,40.2%,27.2%,0.8%,"3,017",18.9%,16.9%,27.1%,20.2%,7.1%,9.1%,0.5%,64.1%,9.6%,838,65.9%,7.0%,892,66.0%,8.6%,"1,160",64.2%,12.9%,127,38.6%,3.9%,15.2%,5.1%,7.6%,7.2%,"20,865","17,486","21,584","21,963","28,393","68,750",346
Alaska,Aleutians West,635,43.6%,32.9%,23.1%,0.3%,"5,058",18.2%,11.4%,34.4%,21.1%,5.9%,7.6%,1.3%,70.4%,9.0%,883,82.3%,15.9%,"1,589",78.7%,7.2%,"2,347",61.8%,7.0%,239,54.4%,14.2%,17.3%,16.1%,7.8%,7.2%,"22,333","17,060","22,323","32,771","25,829","40,625",381
Alaska,Anchorage,"32,660",14.7%,34.2%,45.3%,5.8%,"177,161",3.0%,5.1%,22.9%,27.8%,8.3%,21.4%,11.6%,91.9%,33.0%,"42,130",92.8%,30.0%,"40,196",92.1%,34.0%,"75,066",94.1%,35.9%,"19,769",81.5%,26.3%,16.0%,8.3%,4.5%,2.4%,"43,551","23,126","32,456","41,453","52,683","70,090",400
Alaska,Bethel,"2,021",48.6%,38.5%,12.0%,0.8%,"8,617",13.0%,8.6%,39.6%,21.5%,3.3%,8.0%,5.9%,78.4%,13.9%,"2,153",86.7%,11.5%,"2,083",89.2%,14.1%,"3,455",82.3%,18.1%,926,20.3%,3.5%,18.7%,20.8%,11.1%,0.6%,"26,885","11,458","16,780","32,481","61,450","75,962",411
Alaska,Bristol Bay,31,22.6%,51.6%,25.8%,0.0%,636,6.1%,3.3%,27.5%,38.8%,8.3%,12.9%,3.0%,90.6%,15.9%,69,100.0%,10.1%,96,91.7%,22.9%,354,96.0%,20.3%,117,67.5%,0.0%,15.0%,5.7%,5.0%,3.0%,"49,063","27,917","41,591","50,550","53,594","68,958",423
Alaska,Denali,14,28.6%,28.6%,42.9%,0.0%,843,0.5%,3.8%,29.7%,30.0%,8.5%,20.9%,6.6%,95.7%,27.5%,116,92.2%,54.3%,221,98.2%,22.2%,444,96.2%,24.1%,62,90.3%,21.0%,0.0%,5.6%,1.8%,2.8%,"52,056","34,375","57,500","57,708","40,139","75,714",426
Alaska,Dillingham,543,34.3%,41.4%,23.0%,1.3%,"2,648",12.0%,5.4%,31.8%,26.8%,3.8%,11.7%,8.5%,82.6%,20.2%,529,87.5%,24.8%,554,95.3%,19.5%,"1,219",87.9%,21.7%,346,36.1%,9.2%,15.9%,21.4%,9.3%,0.0%,"32,935","11,196","20,893","33,000","55,833","64,250",445
Alaska,Fairbanks North Star,"13,147",11.5%,37.9%,46.0%,4.6%,"56,644",2.2%,4.9%,26.5%,29.7%,9.7%,15.8%,11.3%,92.9%,27.1%,"15,005",95.1%,19.6%,"12,489",95.2%,27.9%,"23,464",93.5%,32.2%,"5,686",79.7%,24.4%,13.6%,8.7%,5.3%,1.9%,"40,276","25,927","34,375","38,927","42,966","63,500",454
Alaska,Haines,22,40.9%,50.0%,9.1%,0.0%,"1,198",0.8%,5.3%,34.4%,23.3%,3.3%,21.4%,11.7%,94.0%,33.1%,96,100.0%,28.1%,183,98.9%,42.6%,567,91.4%,31.9%,352,94.0%,31.3%,15.3%,8.7%,8.8%,0.3%,"22,355","8,750","20,417","15,833","32,411","47,381",462
Alaska,Hoonah-Angoon,55,18.2%,67.3%,10.9%,3.6%,"1,603",3.6%,8.9%,29.9%,22.0%,7.7%,17.5%,10.4%,87.6%,27.9%,288,73.6%,18.8%,249,92.0%,33.3%,781,94.0%,29.8%,285,80.4%,27.0%,43.7%,16.5%,8.6%,5.1%,"25,462","13,333","25,817","25,139","25,156","28,958",476
Alaska,Juneau,"2,915",13.6%,37.9%,42.1%,6.5%,"20,611",1.4%,3.3%,23.8%,30.5%,6.2%,22.2%,12.5%,95.3%,34.7%,"3,895",97.2%,33.4%,"4,602",95.2%,30.5%,"9,755",95.6%,37.1%,"2,359",90.7%,35.3%,18.7%,6.6%,6.0%,0.9%,"40,486","18,165","33,309","37,582","44,103","61,443",482
Alaska,Kenai Peninsula,"4,463",16.9%,38.6%,37.6%,6.9%,"36,285",2.0%,5.8%,32.6%,29.5%,7.7%,14.4%,8.0%,92.1%,22.4%,"5,795",92.1%,17.3%,"6,999",92.8%,22.0%,"18,046",94.1%,23.6%,"5,445",84.7%,24.5%,14.4%,11.2%,7.7%,2.9%,"35,428","22,216","33,676","34,396","38,886","54,250",494
Alaska,Ketchikan Gateway,"1,236",33.1%,37.7%,21.0%,8.2%,"8,902",1.6%,6.0%,30.2%,30.2%,7.9%,16.6%,7.6%,92.5%,24.2%,"1,649",93.1%,20.7%,"1,891",94.0%,23.4%,"4,096",95.3%,27.8%,"1,266",80.2%,18.2%,11.3%,14.8%,4.9%,3.8%,"37,984","27,127","31,349","33,972","50,132","55,726",514
Alaska,Kodiak Island,"1,420",11.7%,41.1%,43.7%,3.5%,"8,006",7.1%,5.3%,27.2%,28.7%,10.1%,16.2%,5.6%,87.7%,21.8%,"1,599",85.9%,24.0%,"2,073",92.2%,21.4%,"3,441",90.6%,20.2%,893,69.0%,24.9%,17.3%,4.8%,9.5%,3.4%,"34,013","21,090","34,691","35,244","34,707","44,375",533
Alaska,Lake and Peninsula,65,23.1%,53.8%,13.8%,9.2%,746,13.1%,8.8%,31.1%,29.2%,4.2%,7.8%,5.8%,78.0%,13.5%,86,89.5%,22.1%,114,91.2%,7.0%,437,84.7%,15.8%,109,28.4%,4.6%,17.7%,26.7%,10.4%,6.9%,"23,456","14,250","14,881","29,375","35,000","52,500",544
Alaska,Matanuska-Susitna,"7,372",25.0%,43.0%,28.6%,3.4%,"52,158",2.0%,6.2%,31.1%,30.3%,9.6%,14.5%,6.3%,91.8%,20.8%,"10,361",91.6%,18.0%,"12,067",93.1%,20.0%,"23,507",93.9%,23.1%,"6,223",81.8%,18.1%,17.4%,8.2%,6.6%,4.3%,"40,768","16,571","34,853","40,244","49,906","59,901",556
Alaska,Nome,"1,104",41.2%,37.7%,17.8%,3.4%,"5,015",7.6%,8.6%,42.4%,23.3%,3.2%,10.7%,4.2%,83.8%,14.9%,"1,243",88.4%,13.8%,"1,093",90.8%,17.2%,"2,121",84.1%,15.6%,558,59.1%,10.6%,31.6%,26.5%,10.4%,0.3%,"30,938","14,485","16,528","38,698","57,313","81,429",571
Alaska,North Slope,"1,906",34.0%,47.3%,17.9%,0.8%,"4,626",11.1%,15.1%,39.2%,19.4%,1.8%,5.1%,8.5%,73.8%,13.5%,"1,099",78.1%,7.7%,"1,107",73.4%,10.4%,"1,931",84.3%,20.8%,489,23.5%,4.9%,13.9%,9.0%,8.9%,1.3%,"32,130","15,000","30,884","37,230","61,111","64,100",614
Alaska,Northwest Arctic,"1,000",37.7%,48.1%,13.2%,1.0%,"3,827",8.9%,11.6%,42.3%,20.7%,4.1%,7.1%,5.4%,79.6%,12.5%,919,79.2%,11.5%,929,88.6%,12.1%,"1,540",86.1%,14.3%,439,38.3%,9.6%,26.7%,17.1%,13.4%,1.7%,"31,055","9,792","22,078","39,103","66,736","78,750",638
Alaska,Petersburg,278,27.0%,56.5%,16.5%,0.0%,"2,707",2.1%,2.4%,35.9%,25.3%,6.8%,16.9%,10.5%,95.5%,27.4%,336,97.6%,13.4%,573,97.6%,37.7%,"1,408",97.3%,32.2%,390,83.8%,7.2%,15.4%,16.2%,0.8%,4.4%,"34,627","6,111","31,472","46,071","40,250","34,857",645
Alaska,Prince of Wales-Hyder,435,30.6%,45.7%,23.7%,0.0%,"3,681",1.8%,9.8%,39.5%,26.2%,4.9%,11.8%,5.9%,88.4%,17.8%,589,85.7%,10.2%,780,88.1%,21.4%,"1,777",91.8%,18.9%,535,80.4%,17.2%,25.5%,10.9%,6.1%,11.2%,"28,654","14,333","25,944","30,791","44,511","61,339",669
Alaska,Sitka,937,22.2%,41.2%,30.9%,5.7%,"5,931",1.6%,6.1%,26.2%,28.0%,9.0%,18.1%,11.0%,92.3%,29.2%,"1,097",96.4%,27.2%,"1,310",95.1%,25.2%,"2,683",92.2%,31.5%,841,83.1%,30.6%,0.0%,7.2%,4.7%,4.0%,"41,045","14,583","33,980","40,593","47,020","64,511",679
Alaska,Skagway,173,0.6%,21.4%,64.2%,13.9%,722,0.8%,3.9%,18.6%,39.6%,4.8%,24.8%,7.5%,95.3%,32.3%,129,99.2%,54.3%,137,94.9%,21.2%,390,94.1%,31.0%,66,95.5%,19.7%,11.8%,0.0%,3.4%,0.4%,"36,016","13,304","33,462","35,729","41,750","44,375",683
Alaska,Southeast Fairbanks,671,22.2%,34.4%,41.4%,1.9%,"4,309",3.9%,5.0%,32.2%,33.1%,5.8%,13.3%,6.8%,91.1%,20.0%,706,91.2%,23.5%,935,96.5%,19.7%,"2,075",92.8%,18.7%,593,76.7%,21.1%,18.8%,13.0%,4.6%,2.7%,"40,940","22,308","30,224","43,869","40,086","66,875",690
Alaska,Valdez-Cordova,817,20.8%,44.6%,33.8%,0.9%,"6,359",2.9%,4.4%,22.8%,36.0%,10.1%,16.5%,7.3%,92.6%,23.7%,"1,062",96.0%,15.8%,"1,332",94.7%,30.1%,"3,281",92.8%,23.0%,684,82.5%,27.0%,7.2%,6.5%,4.1%,4.9%,"38,947","27,740","27,448","41,661","37,262","69,375",710
Alaska,Wade Hampton,"1,022",35.4%,51.8%,11.6%,1.2%,"3,256",14.1%,12.3%,43.4%,20.3%,2.2%,4.6%,3.1%,73.6%,7.7%,836,79.4%,7.2%,804,88.3%,4.9%,"1,243",78.2%,11.4%,373,13.9%,2.7%,29.0%,35.0%,15.1%,2.0%,"16,151","9,750","11,755","20,667","52,143","53,125",725
Alaska,Wrangell,167,7.8%,36.5%,55.7%,0.0%,"1,533",1.9%,8.5%,37.2%,28.9%,7.3%,15.0%,1.2%,89.6%,16.2%,173,100.0%,19.1%,330,94.8%,17.3%,626,93.8%,19.6%,404,74.5%,8.9%,10.7%,10.9%,3.8%,6.4%,"33,696","45,714","25,741","32,663","60,417","36,979",733
Alaska,Yakutat,14,50.0%,21.4%,28.6%,0.0%,390,6.4%,3.1%,31.3%,32.1%,9.2%,13.3%,4.6%,90.5%,17.9%,41,100.0%,53.7%,109,99.1%,14.7%,176,96.6%,18.2%,64,53.1%,0.0%,0.0%,5.7%,1.2%,0.0%,"37,500","6,786","35,536","46,771","32,083","38,750",744
Alaska,Yukon-Koyukuk,569,22.1%,49.7%,23.9%,4.2%,"3,490",9.3%,11.2%,36.5%,27.2%,4.3%,6.8%,4.7%,79.5%,11.5%,667,86.7%,10.9%,616,85.6%,15.4%,"1,693",85.4%,12.4%,514,43.6%,4.7%,25.7%,21.1%,17.0%,11.2%,"20,399","9,615","15,871","24,571","41,528","53,750",753
Arizona,Apache,"7,237",28.2%,40.3%,30.2%,1.4%,"40,189",16.0%,11.9%,31.6%,22.3%,7.9%,6.8%,3.5%,72.1%,10.3%,"7,448",84.0%,6.9%,"8,200",80.0%,8.3%,"16,810",75.2%,13.1%,"7,731",45.5%,9.7%,50.5%,33.4%,15.8%,3.0%,"25,806","18,562","21,081","27,873","39,589","54,475",761
Arizona,Cochise,"12,069",22.2%,33.8%,39.3%,4.7%,"87,126",6.9%,8.2%,25.1%,28.4%,9.9%,13.6%,7.8%,84.8%,21.4%,"15,619",88.8%,19.3%,"15,110",87.7%,19.8%,"34,725",86.9%,25.8%,"21,672",76.7%,16.9%,25.9%,15.3%,10.5%,4.7%,"30,952","14,463","23,005","31,766","45,292","52,574",763
Arizona,Coconino,"23,070",12.4%,28.1%,52.7%,6.8%,"76,643",5.3%,7.7%,23.5%,25.1%,7.3%,18.2%,12.8%,87.0%,31.1%,"17,515",90.8%,28.3%,"15,800",88.5%,32.6%,"32,093",89.7%,32.9%,"11,235",71.3%,28.2%,31.6%,13.6%,12.8%,4.3%,"31,699","17,224","26,314","30,594","39,800","49,335",771
Arizona,Gila,"3,768",33.3%,35.3%,29.2%,2.2%,"37,756",5.0%,11.6%,33.0%,26.3%,9.2%,8.8%,6.3%,83.4%,15.0%,"4,411",75.3%,10.8%,"5,277",84.6%,6.4%,"16,184",89.6%,17.0%,"11,884",77.6%,17.7%,29.1%,20.3%,9.6%,5.4%,"28,443","17,405","27,088","30,393","36,518","44,025",787
Arizona,Graham,"4,306",28.0%,27.5%,43.0%,1.5%,"21,508",5.8%,12.4%,33.6%,27.1%,7.6%,8.2%,5.2%,81.8%,13.4%,"5,061",79.2%,10.7%,"4,445",86.0%,8.1%,"7,753",85.2%,15.8%,"4,249",74.3%,18.0%,29.8%,16.3%,12.1%,2.1%,"26,938","15,632","25,363","30,357","34,487","50,000",0
Arizona,Greenlee,666,20.1%,43.4%,36.5%,0.0%,"5,235",3.4%,6.8%,34.6%,34.7%,7.1%,10.3%,3.2%,89.8%,13.4%,"1,059",93.9%,18.0%,"1,080",93.1%,16.5%,"2,145",93.9%,14.0%,951,72.2%,3.4%,22.7%,9.5%,10.2%,4.0%,"36,721","27,431","31,484","37,680","48,000","66,071",1
Arizona,La Paz,"1,043",25.4%,53.1%,13.6%,7.9%,"15,848",10.6%,12.5%,34.1%,28.6%,5.2%,5.7%,3.3%,76.9%,9.0%,"1,741",67.4%,4.7%,"1,898",73.3%,10.1%,"5,629",80.1%,8.8%,"6,580",77.7%,10.0%,24.7%,11.7%,13.7%,3.4%,"22,742","18,790","20,170","24,181","41,026","96,875",3
Arizona,Maricopa,"370,881",20.9%,31.3%,40.1%,7.7%,"2,376,039",6.7%,7.7%,23.8%,24.8%,8.0%,18.8%,10.3%,85.6%,29.0%,"548,730",83.3%,27.7%,"528,928",84.6%,31.1%,"860,917",88.4%,30.8%,"437,464",84.1%,24.9%,25.3%,12.3%,7.7%,3.9%,"36,843","21,322","29,503","36,352","50,958","64,039",9
Arizona,Mohave,"13,365",30.5%,38.9%,28.7%,1.9%,"143,120",4.4%,12.7%,34.6%,29.5%,6.9%,8.0%,4.0%,83.0%,12.0%,"18,399",81.4%,11.5%,"21,424",79.3%,12.5%,"59,537",87.7%,12.6%,"43,760",78.9%,10.9%,22.6%,12.7%,10.1%,6.0%,"25,687","16,195","23,721","26,407","37,252","42,020",15
Arizona,Navajo,"10,246",33.4%,35.4%,28.5%,2.7%,"63,894",7.8%,11.7%,30.0%,27.2%,8.9%,8.9%,5.5%,80.5%,14.4%,"11,695",84.4%,10.7%,"12,492",84.2%,12.6%,"26,416",83.1%,17.6%,"13,291",68.4%,13.1%,41.4%,20.6%,13.6%,3.5%,"26,618","15,104","24,505","27,417","39,820","47,154",17
Arizona,Pima,"104,479",16.7%,28.4%,47.6%,7.3%,"635,425",5.3%,7.9%,23.6%,25.6%,8.0%,17.6%,12.0%,86.8%,29.6%,"125,649",86.7%,26.5%,"118,426",86.9%,27.9%,"247,161",89.1%,32.3%,"144,189",83.0%,29.4%,27.8%,14.7%,10.2%,4.8%,"31,224","17,978","24,449","30,522","42,009","52,741",21
Arizona,Pinal,"25,766",30.7%,34.3%,31.3%,3.7%,"217,683",6.4%,9.8%,29.1%,27.6%,9.2%,12.0%,5.9%,83.7%,17.9%,"49,408",82.2%,17.7%,"45,024",84.9%,17.1%,"77,294",85.4%,17.4%,"45,957",81.4%,19.7%,25.4%,11.0%,7.4%,3.3%,"34,235","19,387","28,961","36,792","45,708","51,790",26
Arizona,Santa Cruz,"3,782",37.3%,28.1%,31.2%,3.4%,"27,905",16.0%,13.1%,31.1%,17.2%,5.3%,11.5%,5.8%,70.9%,17.3%,"4,778",81.9%,13.8%,"5,795",79.7%,10.3%,"10,982",66.8%,19.3%,"6,350",61.6%,23.0%,30.7%,18.3%,11.6%,8.6%,"22,902","17,683","21,389","26,242","36,659","42,271",32
Arizona,Yavapai,"14,966",26.9%,32.4%,36.6%,4.1%,"153,129",3.1%,7.5%,27.0%,30.5%,8.3%,14.6%,9.1%,89.4%,23.7%,"18,311",81.2%,15.5%,"21,636",87.1%,21.4%,"65,633",93.2%,25.9%,"47,549",88.3%,24.8%,20.7%,13.0%,10.0%,5.5%,"27,996","18,421","24,617","27,770","37,861","42,884",35
Arizona,Yuma,"20,033",25.6%,40.0%,32.4%,2.0%,"116,138",15.1%,13.4%,27.0%,24.6%,6.6%,8.7%,4.6%,71.6%,13.3%,"23,412",79.2%,13.1%,"22,987",70.6%,13.6%,"39,373",69.0%,14.7%,"30,366",69.7%,11.5%,29.0%,13.1%,10.5%,4.1%,"25,846","15,096","24,205","31,001","39,813","52,666",42
Arkansas,Arkansas,"1,672",20.2%,54.0%,22.5%,3.3%,"13,202",8.4%,12.2%,37.8%,20.9%,6.4%,9.2%,5.1%,79.4%,14.3%,"2,080",76.1%,17.0%,"2,479",91.8%,17.4%,"5,512",84.0%,15.5%,"3,131",63.5%,8.0%,39.5%,12.9%,12.6%,1.9%,"27,079","14,104","27,223","23,503","40,829","49,241",46
Arkansas,Ashley,"1,732",18.0%,45.8%,32.1%,4.1%,"14,869",5.4%,13.5%,45.0%,18.5%,3.9%,10.3%,3.4%,81.1%,13.7%,"2,571",88.3%,10.3%,"2,919",83.7%,14.8%,"5,908",85.0%,15.2%,"3,471",66.7%,12.5%,33.2%,13.8%,8.9%,1.2%,"28,021","17,846","24,312","24,470","38,011","55,417",50
Arkansas,Baxter,"2,494",17.9%,34.2%,45.1%,2.7%,"31,371",5.0%,11.4%,37.5%,24.6%,7.0%,9.8%,4.7%,83.7%,14.5%,"3,593",82.6%,15.8%,"4,231",89.1%,11.7%,"12,232",87.9%,16.7%,"11,315",77.4%,12.8%,19.3%,11.6%,9.0%,7.0%,"22,707","13,885","20,741","24,298","29,020","48,702",54
Arkansas,Benton,"18,035",18.3%,41.3%,32.5%,7.9%,"133,625",7.2%,8.6%,31.1%,21.2%,6.0%,18.1%,7.8%,84.2%,25.9%,"30,447",83.7%,30.7%,"30,241",83.6%,29.0%,"47,418",86.2%,24.6%,"25,519",81.8%,18.8%,21.4%,9.5%,6.4%,2.5%,"32,241","21,406","27,726","32,230","49,577","58,442",59
Arkansas,Boone,"2,913",20.7%,44.4%,32.7%,2.2%,"25,086",6.4%,9.8%,40.8%,21.7%,6.7%,9.8%,4.7%,83.8%,14.5%,"4,136",88.5%,11.8%,"4,642",88.3%,17.7%,"9,936",87.1%,15.0%,"6,372",72.2%,13.2%,28.6%,13.8%,9.3%,2.4%,"26,036","19,679","23,458","26,042","35,823","51,190",62
Arkansas,Bradley,668,25.6%,29.3%,41.8%,3.3%,"8,213",17.5%,13.1%,39.7%,13.7%,3.3%,9.1%,3.6%,69.4%,12.7%,"1,508",76.3%,6.6%,"1,543",64.3%,15.2%,"3,088",73.7%,15.5%,"2,074",61.8%,11.0%,51.5%,16.5%,17.5%,2.4%,"24,219","13,750","21,801","31,237","39,085","48,958",68
Arkansas,Calhoun,488,17.0%,37.1%,45.9%,0.0%,"3,805",9.4%,12.7%,45.5%,17.3%,8.4%,4.9%,1.7%,77.8%,6.6%,686,75.9%,3.1%,619,89.7%,3.2%,"1,565",81.7%,8.2%,935,64.9%,8.7%,21.1%,13.1%,8.7%,0.8%,"24,933","20,582","24,787","26,124","29,063","55,455",72
Arkansas,Carroll,"1,970",37.8%,39.0%,21.8%,1.4%,"18,970",9.4%,11.6%,36.6%,19.9%,5.1%,11.7%,5.7%,79.0%,17.4%,"2,822",78.0%,15.3%,"3,065",83.6%,21.9%,"8,279",79.9%,15.6%,"4,804",74.8%,18.8%,25.3%,14.0%,13.2%,5.3%,"22,952","17,383","22,641","21,760","35,194","49,847",74
Arkansas,Chicot,"1,037",31.9%,50.9%,11.5%,5.7%,"8,167",12.4%,18.4%,40.6%,13.8%,2.2%,7.8%,4.8%,69.3%,12.6%,"1,250",84.6%,17.5%,"1,491",73.2%,13.0%,"3,311",72.4%,11.6%,"2,115",52.6%,11.1%,35.5%,29.3%,13.6%,10.0%,"20,426","13,961","16,724","22,389","34,623","54,167",77
Arkansas,Clark,"5,026",7.5%,17.1%,73.8%,1.5%,"13,428",6.8%,10.1%,36.8%,17.7%,6.8%,13.2%,8.5%,83.1%,21.7%,"2,359",92.8%,24.6%,"2,430",86.0%,20.3%,"5,244",88.6%,24.5%,"3,395",65.9%,16.5%,27.9%,17.6%,19.2%,8.0%,"23,020","14,503","20,527","22,391","35,679","45,839",86
Arkansas,Clay,"1,200",14.5%,52.1%,28.0%,5.4%,"11,410",13.5%,13.3%,41.8%,17.6%,4.9%,5.6%,3.1%,73.1%,8.8%,"1,652",91.3%,10.8%,"2,097",85.0%,6.7%,"4,455",78.0%,11.0%,"3,206",49.2%,5.9%,22.0%,13.6%,11.5%,2.6%,"23,844","20,000","20,662","25,971","43,229","45,163",93
Arkansas,Cleburne,"1,750",9.8%,46.5%,41.8%,1.9%,"18,769",7.8%,13.2%,35.5%,22.6%,7.2%,9.1%,4.7%,79.1%,13.8%,"2,448",90.1%,10.6%,"3,059",80.5%,11.4%,"7,361",81.5%,16.2%,"5,901",70.8%,13.3%,25.2%,11.1%,17.4%,4.2%,"22,277","15,210","21,754","21,615","37,375","51,475",97
Arkansas,Cleveland,693,32.5%,26.6%,31.5%,9.5%,"5,866",5.0%,9.0%,45.9%,19.4%,6.6%,11.9%,2.0%,85.9%,14.0%,974,90.9%,14.8%,"1,134",93.4%,18.2%,"2,385",89.4%,11.6%,"1,373",70.4%,14.1%,16.3%,11.3%,12.7%,3.1%,"27,206","19,891","21,897","30,412","38,674","19,250",103
Arkansas,Columbia,"3,426",7.7%,25.2%,63.0%,4.1%,"15,618",4.4%,11.9%,37.5%,19.5%,5.9%,13.6%,7.2%,83.7%,20.8%,"2,732",92.5%,25.8%,"2,891",89.0%,21.7%,"6,088",85.9%,22.0%,"3,907",70.0%,14.6%,37.8%,13.4%,14.4%,7.4%,"26,920","17,269","21,649","24,509","38,599","46,000",107
Arkansas,Conway,"1,821",21.5%,45.3%,31.0%,2.1%,"14,106",7.3%,10.0%,44.0%,20.0%,4.8%,9.2%,4.6%,82.7%,13.8%,"2,313",87.7%,10.5%,"2,665",87.0%,18.6%,"5,573",87.4%,13.6%,"3,555",68.9%,12.9%,31.1%,15.8%,6.7%,7.9%,"27,005","15,637","24,600","28,929","40,346","44,063",109
Arkansas,Craighead,"11,589",9.9%,32.8%,49.8%,7.5%,"58,490",6.7%,10.0%,35.0%,20.7%,4.5%,14.7%,8.4%,83.3%,23.1%,"14,069",86.1%,25.1%,"12,004",90.2%,25.0%,"21,492",86.6%,23.7%,"10,925",65.4%,17.0%,26.0%,14.2%,11.7%,3.2%,"28,592","18,337","25,483","27,700","38,390","54,977",114
Arkansas,Crawford,"5,143",20.7%,42.8%,32.4%,4.1%,"39,393",7.4%,15.2%,34.8%,22.0%,7.6%,8.6%,4.4%,77.4%,13.0%,"7,440",85.6%,16.5%,"8,207",81.6%,14.2%,"16,015",78.8%,13.5%,"7,731",62.1%,7.3%,26.5%,12.9%,7.7%,5.9%,"26,670","18,458","24,048","27,506","41,647","53,194",115
Arkansas,Crittenden,"4,725",29.0%,34.7%,34.2%,2.2%,"30,785",6.5%,17.2%,33.8%,23.7%,4.6%,10.7%,3.4%,76.3%,14.2%,"6,410",83.3%,17.9%,"6,637",83.2%,17.2%,"12,469",76.0%,13.1%,"5,269",59.7%,8.5%,34.1%,20.1%,13.9%,2.8%,"29,554","20,006","23,487","31,673","43,506","53,983",119
Arkansas,Cross,"1,473",16.6%,45.5%,35.6%,2.2%,"11,916",8.9%,15.0%,42.6%,16.1%,4.7%,9.8%,2.8%,76.1%,12.6%,"2,002",85.4%,14.5%,"2,429",89.9%,13.5%,"4,840",77.7%,14.4%,"2,645",53.3%,7.2%,29.9%,13.9%,7.6%,2.0%,"26,327","18,156","24,407","30,619","44,280","47,031",124
Arkansas,Dallas,672,18.6%,42.7%,29.3%,9.4%,"5,561",7.3%,12.4%,46.0%,16.9%,4.9%,8.6%,3.8%,80.3%,12.4%,888,89.6%,7.7%,996,92.8%,15.7%,"2,223",76.4%,11.2%,"1,454",72.0%,15.1%,30.3%,11.8%,13.8%,4.7%,"23,186","18,664","23,191","20,112","36,802","43,295",128
Arkansas,Desha,"1,150",29.3%,27.3%,43.0%,0.3%,"8,650",12.5%,15.0%,38.2%,16.3%,4.4%,9.9%,3.7%,72.5%,13.6%,"1,541",83.3%,17.7%,"1,496",80.8%,16.6%,"3,609",73.1%,12.4%,"2,004",57.0%,10.4%,36.2%,21.6%,12.8%,1.4%,"25,389","18,670","23,465","27,191","32,599","45,489",130
Arkansas,Drew,"2,229",7.4%,32.9%,57.6%,2.2%,"11,877",6.0%,13.4%,37.1%,19.8%,4.4%,13.7%,5.7%,80.6%,19.4%,"2,339",87.7%,23.2%,"2,174",82.4%,19.8%,"4,746",85.8%,23.1%,"2,618",63.4%,8.8%,34.3%,12.0%,20.3%,3.8%,"27,730","20,446","23,737","23,992","39,610","71,464",136
Arkansas,Faulkner,"17,445",5.8%,29.9%,55.1%,9.1%,"64,243",4.6%,8.0%,32.0%,22.7%,6.4%,17.8%,8.6%,87.4%,26.4%,"14,975",91.7%,28.7%,"14,647",89.4%,32.3%,"23,991",89.0%,25.8%,"10,630",75.1%,16.3%,24.1%,12.1%,8.1%,3.1%,"34,164","20,362","25,855","32,290","45,827","53,125",141
Arkansas,Franklin,"1,437",17.5%,49.6%,26.2%,6.8%,"12,239",6.9%,10.5%,42.5%,23.6%,4.9%,8.5%,3.1%,82.6%,11.6%,"2,132",93.4%,16.0%,"2,239",84.3%,12.2%,"4,837",81.6%,9.9%,"3,031",75.3%,10.9%,25.6%,11.2%,15.6%,1.9%,"24,585","18,906","19,439","29,275","39,194","49,821",144
Arkansas,Fulton,785,22.4%,34.3%,43.3%,0.0%,"8,812",8.3%,12.4%,42.5%,21.8%,5.5%,5.5%,4.2%,79.4%,9.7%,"1,075",96.6%,12.7%,"1,376",81.6%,7.3%,"3,603",80.1%,12.1%,"2,758",70.7%,6.6%,19.7%,18.2%,11.8%,3.8%,"20,939","14,867","16,962","21,280","39,000","48,340",146
