County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units,FID
Mississippi,Webster,36.0%,33.1%,74.2%,10.1%,15.7%,1756
Mississippi,Wilkinson,37.7%,41.2%,70.5%,4.9%,24.6%,1757
Mississippi,Winston,32.4%,42.4%,81.4%,4.9%,13.6%,1758
Mississippi,Yalobusha,34.2%,39.8%,69.6%,6.3%,24.1%,1759
Mississippi,Yazoo,39.0%,37.8%,67.2%,12.8%,20.0%,1760
Missouri,Adair,27.9%,28.1%,68.6%,24.1%,7.3%,1761
Missouri,Andrew,36.2%,34.8%,79.3%,9.8%,11.0%,1762
Missouri,Atchison,27.8%,42.2%,87.4%,8.9%,3.7%,1763
Missouri,Audrain,32.7%,38.8%,86.3%,7.3%,6.4%,1766
Missouri,Barry,33.1%,38.0%,74.4%,7.7%,17.9%,1767
Missouri,Barton,34.9%,38.0%,82.6%,6.0%,11.4%,1771
Missouri,Bates,32.7%,37.9%,82.0%,6.8%,11.2%,1776
Missouri,Benton,23.5%,51.7%,80.2%,3.8%,16.0%,1778
Missouri,Bollinger,30.4%,39.2%,74.1%,3.7%,22.2%,1781
Missouri,Boone,29.9%,23.1%,65.8%,28.6%,5.6%,1783
Missouri,Buchanan,32.1%,33.1%,78.4%,16.9%,4.7%,1789
Missouri,Butler,31.4%,36.7%,76.9%,12.9%,10.1%,1792
Missouri,Caldwell,32.9%,37.1%,81.3%,6.6%,12.2%,1795
Missouri,Callaway,36.7%,28.7%,74.0%,10.9%,15.1%,1799
Missouri,Camden,23.6%,43.7%,76.3%,12.3%,11.4%,1803
Missouri,Cape Girardeau,32.3%,31.5%,74.4%,19.3%,6.3%,1808
Missouri,Carroll,29.3%,43.1%,85.9%,7.6%,6.5%,1822
Missouri,Carter,24.1%,38.7%,75.6%,3.5%,20.9%,1001
Missouri,Cass,39.1%,32.6%,85.5%,9.2%,5.3%,1004
Missouri,Cedar,28.6%,46.1%,80.7%,5.9%,13.4%,1007
Missouri,Chariton,28.4%,40.3%,84.7%,7.1%,8.2%,1011
Missouri,Christian,40.4%,28.1%,82.9%,11.4%,5.7%,1014
Missouri,Clark,27.6%,43.1%,79.1%,8.5%,12.4%,1015
Missouri,Clay,34.8%,27.3%,81.4%,16.7%,1.9%,1018
Missouri,Clinton,32.8%,35.1%,85.4%,10.1%,4.5%,1021
Missouri,Cole,32.4%,29.2%,74.6%,22.1%,3.3%,1022
Missouri,Cooper,30.9%,37.5%,79.3%,13.4%,7.3%,1025
Missouri,Crawford,31.0%,38.2%,75.7%,7.9%,16.4%,1028
Missouri,Dade,30.9%,46.4%,82.9%,6.0%,11.1%,1030
Missouri,Dallas,34.8%,40.8%,79.6%,3.8%,16.7%,1032
Missouri,Daviess,32.3%,41.0%,82.4%,5.7%,11.9%,1036
Missouri,DeKalb,30.2%,36.6%,72.5%,18.7%,8.8%,1038
Missouri,Dent,30.2%,42.7%,76.2%,6.2%,17.7%,1040
Missouri,Douglas,27.1%,43.8%,82.9%,4.4%,12.7%,1043
Missouri,Dunklin,32.5%,39.1%,78.9%,10.6%,10.5%,1045
Missouri,Franklin,34.6%,33.0%,77.9%,10.7%,11.4%,1047
Missouri,Gasconade,28.7%,42.9%,79.1%,7.5%,13.4%,1049
Missouri,Gentry,27.0%,42.3%,82.7%,9.7%,7.6%,1052
Missouri,Greene,28.4%,30.7%,75.0%,21.3%,3.6%,1054
Missouri,Grundy,26.8%,43.9%,81.6%,12.2%,6.2%,1057
Missouri,Harrison,28.4%,46.5%,82.7%,8.9%,8.3%,1058
Missouri,Henry,28.8%,39.3%,78.5%,11.3%,10.2%,1061
Missouri,Hickory,19.5%,56.5%,69.7%,2.6%,27.8%,1063
Missouri,Holt,28.8%,44.3%,83.0%,9.1%,7.9%,1065
Missouri,Howard,31.0%,36.6%,77.9%,7.7%,14.4%,1068
Missouri,Howell,32.3%,38.6%,75.5%,9.6%,14.9%,1070
Missouri,Iron,29.4%,37.2%,72.5%,8.0%,19.6%,1072
Missouri,Jackson,32.1%,30.3%,75.4%,23.4%,1.2%,1074
Missouri,Jasper,36.1%,32.5%,78.4%,14.4%,7.3%,1078
Missouri,Jefferson,36.9%,28.2%,79.2%,8.4%,12.5%,1082
Missouri,Johnson,31.9%,27.7%,70.6%,19.3%,10.0%,1087
Missouri,Knox,25.6%,38.7%,84.0%,4.8%,11.2%,1091
Missouri,Laclede,33.6%,36.2%,67.9%,11.9%,20.2%,1096
Missouri,Lafayette,34.4%,35.8%,78.0%,12.6%,9.3%,1099
Missouri,Lawrence,36.4%,35.5%,80.8%,8.8%,10.4%,1101
Missouri,Lewis,33.6%,39.2%,75.9%,9.2%,14.9%,1104
Missouri,Lincoln,40.4%,28.3%,76.2%,5.6%,18.1%,1106
Missouri,Linn,26.6%,43.3%,86.6%,6.0%,7.4%,1109
Missouri,Livingston,31.0%,38.8%,78.3%,12.6%,9.1%,1112
Missouri,McDonald,33.8%,34.6%,72.7%,7.5%,19.8%,1113
Missouri,Macon,29.6%,40.3%,78.7%,8.0%,13.4%,1116
Missouri,Madison,31.2%,38.8%,75.5%,7.0%,17.5%,1117
Missouri,Maries,28.7%,38.0%,83.3%,5.0%,11.8%,1120
Missouri,Marion,34.0%,33.8%,74.6%,19.0%,6.3%,1122
Missouri,Mercer,24.2%,46.3%,84.8%,9.5%,5.7%,1125
Missouri,Miller,33.7%,35.5%,71.2%,10.3%,18.5%,1128
Missouri,Mississippi,33.9%,35.8%,78.6%,12.1%,9.4%,1131
Missouri,Moniteau,37.6%,35.4%,81.6%,8.2%,10.1%,1135
Missouri,Monroe,29.9%,36.3%,75.9%,6.4%,17.8%,1139
Missouri,Montgomery,30.7%,38.4%,77.3%,8.2%,14.5%,1142
Missouri,Morgan,29.2%,44.3%,75.2%,4.8%,20.0%,1146
Missouri,New Madrid,32.2%,39.8%,74.3%,15.4%,10.3%,1149
Missouri,Newton,34.7%,35.3%,76.3%,7.7%,16.1%,1152
Missouri,Nodaway,25.9%,30.7%,71.4%,21.4%,7.2%,1156
Missouri,Oregon,30.3%,45.3%,76.6%,5.3%,18.1%,1158
Missouri,Osage,35.5%,34.4%,88.7%,5.1%,6.2%,1164
Missouri,Ozark,27.2%,48.6%,80.4%,3.3%,16.3%,1168
Missouri,Pemiscot,35.5%,33.3%,74.0%,18.1%,8.0%,1170
Missouri,Perry,33.9%,33.6%,82.4%,7.9%,9.7%,1172
Missouri,Pettis,32.8%,31.9%,79.7%,13.5%,6.8%,1174
Missouri,Phelps,29.1%,32.8%,69.7%,18.2%,12.1%,1176
Missouri,Pike,33.7%,36.0%,78.4%,11.9%,9.7%,1179
Missouri,Platte,35.1%,26.9%,74.2%,24.8%,1.0%,1181
Missouri,Polk,34.4%,37.9%,77.4%,8.4%,14.2%,1183
Missouri,Pulaski,39.7%,24.4%,68.7%,17.8%,13.5%,1185
Missouri,Putnam,33.0%,40.7%,82.2%,4.6%,13.1%,1188
Missouri,Ralls,30.0%,36.2%,83.0%,2.7%,14.3%,1191
Missouri,Randolph,31.8%,34.7%,75.6%,10.2%,14.2%,1194
Missouri,Ray,33.4%,35.7%,84.7%,8.8%,6.5%,1197
Missouri,Reynolds,24.9%,41.5%,71.5%,4.8%,23.7%,1200
Missouri,Ripley,33.4%,40.0%,77.6%,3.8%,18.6%,1203
Missouri,St. Charles,37.8%,28.1%,82.8%,14.0%,3.2%,1205
Missouri,St. Clair,25.6%,47.5%,76.4%,4.4%,19.2%,1208
Missouri,Ste. Genevieve,30.4%,33.8%,81.7%,5.3%,12.9%,1209
Missouri,St. Francois,32.7%,35.0%,73.1%,13.3%,13.7%,1212
Missouri,St. Louis County,32.0%,33.5%,77.6%,22.0%,0.3%,1216
Missouri,Saline,30.6%,37.4%,82.2%,12.5%,5.3%,1218
Missouri,Schuyler,26.0%,43.7%,75.0%,9.7%,15.4%,1221
Missouri,Scotland,27.5%,36.1%,82.9%,7.9%,9.2%,1224
Missouri,Scott,35.3%,36.4%,77.2%,11.6%,11.1%,1227
Missouri,Shannon,29.2%,41.4%,81.3%,4.3%,14.4%,1229
Missouri,Shelby,28.3%,41.3%,81.7%,10.0%,8.3%,1232
Missouri,Stoddard,31.0%,39.1%,79.7%,9.5%,10.8%,1236
Missouri,Stone,25.1%,49.1%,74.8%,7.7%,17.6%,1237
Missouri,Sullivan,31.8%,41.5%,73.7%,11.2%,15.1%,1240
Missouri,Taney,29.2%,39.8%,63.6%,19.0%,17.4%,1242
Missouri,Texas,28.4%,43.2%,75.6%,7.1%,17.2%,1245
Missouri,Vernon,32.7%,38.8%,77.8%,11.5%,10.7%,1248
Missouri,Warren,32.8%,35.4%,78.2%,7.2%,14.6%,1251
Missouri,Washington,34.0%,37.5%,61.7%,4.3%,33.9%,1253
Missouri,Wayne,25.5%,46.7%,70.9%,5.0%,24.2%,1256
Missouri,Webster,39.4%,34.5%,81.6%,6.1%,12.4%,1258
Missouri,Worth,24.9%,34.1%,83.7%,9.8%,6.4%,1261
Missouri,Wright,33.4%,40.7%,78.0%,7.1%,14.9%,1263
Missouri,St. Louis City,26.8%,27.0%,50.1%,49.6%,0.3%,1266
Montana,Beaverhead,27.5%,37.4%,72.9%,8.5%,18.6%,1269
Montana,Big Horn,40.4%,36.4%,77.4%,8.1%,14.5%,1274
Montana,Blaine,39.6%,32.6%,81.6%,8.9%,9.5%,1124
Montana,Broadwater,26.9%,38.6%,74.0%,5.0%,21.0%,1132
Montana,Carbon,29.3%,39.4%,82.4%,4.0%,13.6%,1137
Montana,Carter,21.7%,46.0%,75.0%,1.6%,23.4%,1141
Montana,Cascade,31.1%,34.0%,69.4%,22.5%,8.2%,1144
Montana,Chouteau,33.8%,39.6%,85.4%,3.8%,10.7%,1150
Montana,Custer,31.8%,39.0%,70.8%,11.4%,17.8%,1153
Montana,Daniels,25.7%,47.2%,89.5%,4.0%,6.5%,1157
Montana,Dawson,26.7%,38.1%,80.5%,9.8%,9.7%,1160
Montana,Deer Lodge,22.5%,42.1%,84.2%,9.7%,6.0%,1163
Montana,Fallon,23.3%,39.0%,77.0%,5.4%,17.6%,1165
Montana,Fergus,26.5%,40.0%,73.6%,12.6%,13.8%,1169
Montana,Flathead,30.7%,33.0%,73.8%,12.7%,13.5%,1173
Montana,Gallatin,28.8%,21.9%,67.0%,24.6%,8.4%,1177
Montana,Garfield,22.7%,46.4%,74.1%,4.2%,21.7%,1182
Montana,Glacier,45.3%,32.7%,72.0%,13.1%,15.0%,1186
Montana,Golden Valley,19.2%,45.8%,78.1%,0.0%,21.9%,1189
Montana,Granite,22.7%,46.8%,79.0%,6.2%,14.9%,1192
Montana,Hill,34.4%,31.2%,77.1%,13.1%,9.8%,1195
Montana,Jefferson,27.9%,33.6%,86.2%,2.3%,11.4%,1199
Montana,Judith Basin,18.0%,55.8%,82.5%,3.2%,14.3%,1202
Montana,Lake,31.2%,38.9%,77.1%,9.3%,13.6%,1207
Montana,Lewis and Clark,27.3%,34.3%,68.0%,19.4%,12.6%,1211
Montana,Liberty,24.0%,44.5%,67.3%,19.2%,13.5%,1214
Montana,Lincoln,25.3%,42.7%,74.2%,6.8%,18.9%,1219
Montana,McCone,24.4%,45.1%,84.7%,3.0%,12.2%,1223
Montana,Madison,20.9%,36.7%,79.1%,9.7%,11.2%,1226
Montana,Meagher,28.2%,42.9%,75.2%,5.0%,19.8%,1231
Montana,Mineral,24.3%,45.2%,62.1%,4.9%,33.0%,1234
Montana,Missoula,27.5%,27.6%,62.6%,27.2%,10.2%,1239
Montana,Musselshell,27.3%,40.9%,76.5%,3.6%,19.9%,1241
Montana,Park,27.1%,34.8%,76.1%,10.9%,13.0%,1244
Montana,Petroleum,35.0%,30.0%,79.5%,3.5%,17.0%,1247
Montana,Phillips,21.9%,39.1%,80.2%,6.1%,13.7%,1250
Montana,Pondera,29.5%,43.7%,79.8%,13.0%,7.2%,1254
Montana,Powder River,32.4%,44.2%,71.5%,3.9%,24.6%,1259
Montana,Powell,25.9%,40.4%,79.9%,10.0%,10.1%,1262
Montana,Prairie,13.9%,56.3%,83.7%,3.2%,13.1%,1264
Montana,Ravalli,27.5%,42.2%,80.0%,6.5%,13.4%,1268
Montana,Richland,33.4%,32.1%,74.1%,15.1%,10.9%,1271
Montana,Roosevelt,35.7%,34.3%,82.6%,6.1%,11.3%,1275
Montana,Rosebud,38.7%,34.6%,71.8%,11.6%,16.6%,1277
Montana,Sanders,26.5%,45.6%,75.9%,4.9%,19.2%,1278
Montana,Sheridan,19.7%,45.2%,79.4%,11.2%,9.4%,1281
Montana,Silver Bow,25.1%,34.2%,74.3%,19.9%,5.8%,1284
Montana,Stillwater,30.4%,37.8%,80.9%,3.9%,15.2%,1286
Montana,Sweet Grass,29.1%,37.0%,87.2%,2.4%,10.4%,1288
Montana,Teton,29.3%,38.9%,80.9%,7.7%,11.4%,1290
Montana,Toole,29.3%,31.4%,82.3%,14.1%,3.6%,1292
Montana,Treasure,18.5%,46.7%,80.3%,0.9%,18.8%,1293
Montana,Valley,25.4%,42.7%,83.1%,9.9%,7.0%,1296
Montana,Wheatland,19.3%,53.9%,83.3%,7.9%,8.8%,1298
Montana,Wibaux,25.4%,44.7%,68.1%,9.5%,22.4%,1300
Montana,Yellowstone,30.7%,32.0%,70.3%,18.6%,11.2%,1302
Nebraska,Adams,33.7%,33.9%,79.7%,15.6%,4.8%,1303
Nebraska,Antelope,31.2%,38.1%,92.3%,4.2%,3.5%,1305
Nebraska,Arthur,39.3%,39.9%,93.8%,0.0%,6.2%,1307
Nebraska,Banner,31.6%,40.0%,81.9%,6.6%,11.6%,1308
Nebraska,Blaine,21.5%,45.9%,92.1%,0.0%,7.9%,1309
Nebraska,Boone,31.2%,40.4%,91.2%,6.2%,2.6%,1310
Nebraska,Box Butte,32.4%,32.5%,75.6%,12.5%,11.9%,1315
Nebraska,Boyd,20.7%,45.0%,93.3%,1.7%,4.9%,1317
Nebraska,Brown,25.7%,48.1%,86.0%,9.3%,4.8%,1319
Nebraska,Buffalo,31.5%,27.9%,73.0%,19.0%,8.0%,1321
Nebraska,Burt,27.9%,41.3%,86.4%,8.2%,5.4%,1323
Nebraska,Butler,27.4%,38.5%,89.2%,5.9%,4.9%,1325
Nebraska,Cass,33.5%,34.1%,87.8%,5.7%,6.5%,1326
Nebraska,Cedar,24.9%,42.1%,91.8%,5.9%,2.3%,1329
Nebraska,Chase,25.9%,38.6%,83.7%,9.9%,6.4%,1330
Nebraska,Cherry,28.5%,43.0%,86.5%,8.6%,4.9%,1333
Nebraska,Cheyenne,30.4%,33.8%,80.3%,14.1%,5.6%,1334
Nebraska,Clay,32.3%,39.4%,90.2%,6.6%,3.1%,1336
Nebraska,Colfax,39.2%,34.3%,85.2%,8.9%,5.8%,1338
Nebraska,Cuming,29.3%,38.9%,89.6%,5.4%,5.0%,1340
Nebraska,Custer,30.5%,42.6%,89.5%,6.9%,3.6%,1342
Nebraska,Dakota,43.7%,31.1%,73.3%,19.0%,7.7%,1344
Nebraska,Dawes,24.6%,34.9%,72.4%,17.6%,10.0%,1347
Nebraska,Dawson,35.0%,34.9%,78.6%,11.4%,9.9%,1349
Nebraska,Deuel,22.1%,47.9%,90.8%,3.2%,6.0%,1351
Nebraska,Dixon,33.1%,36.5%,89.9%,6.4%,3.7%,1353
Nebraska,Dodge,31.6%,39.0%,78.7%,16.5%,4.8%,1354
Nebraska,Douglas,33.6%,26.7%,73.7%,25.1%,1.2%,1358
Nebraska,Dundy,27.3%,42.2%,85.3%,6.5%,8.2%,1360
Nebraska,Fillmore,28.7%,40.7%,90.8%,6.6%,2.5%,1363
Nebraska,Franklin,26.4%,43.0%,94.5%,1.7%,3.8%,1369
Nebraska,Frontier,25.5%,43.9%,92.9%,3.5%,3.5%,1371
Nebraska,Furnas,27.7%,48.2%,88.1%,8.7%,3.1%,1374
Nebraska,Gage,27.9%,40.2%,85.6%,12.7%,1.8%,1378
Nebraska,Garden,22.3%,44.2%,87.7%,7.6%,4.6%,1381
Nebraska,Garfield,31.3%,39.5%,89.8%,5.5%,4.7%,1391
Nebraska,Gosper,30.0%,46.1%,89.5%,2.5%,8.0%,1393
Nebraska,Grant,27.6%,32.8%,84.0%,3.8%,12.3%,1395
Nebraska,Greeley,29.9%,45.8%,90.1%,4.2%,5.7%,1397
Nebraska,Hall,37.4%,30.4%,75.9%,18.9%,5.2%,1402
Nebraska,Hamilton,32.8%,36.9%,85.4%,11.5%,3.1%,1405
Nebraska,Harlan,22.6%,44.0%,92.0%,4.8%,3.2%,1409
Nebraska,Hayes,33.9%,43.9%,96.1%,1.1%,2.7%,1411
Nebraska,Hitchcock,27.0%,49.0%,90.4%,3.2%,6.4%,1414
Nebraska,Holt,26.7%,40.2%,87.4%,5.3%,7.3%,1416
Nebraska,Hooker,22.8%,45.3%,89.1%,0.0%,10.9%,1418
Nebraska,Howard,30.9%,40.6%,89.5%,5.5%,5.0%,1311
Nebraska,Jefferson,23.9%,43.4%,92.3%,6.8%,0.9%,1312
Nebraska,Johnson,30.2%,43.9%,87.6%,9.1%,3.2%,1313
Nebraska,Kearney,31.1%,39.0%,87.0%,4.8%,8.2%,1314
Nebraska,Keith,30.1%,39.3%,81.4%,9.7%,8.9%,1316
Nebraska,Keya Paha,14.5%,59.2%,93.6%,2.6%,3.8%,1318
Nebraska,Kimball,22.7%,45.1%,80.5%,10.2%,9.3%,1320
Nebraska,Knox,28.1%,44.9%,90.6%,6.0%,3.4%,1322
Nebraska,Lancaster,31.7%,25.7%,69.4%,28.4%,2.1%,1324
Nebraska,Lincoln,32.4%,32.3%,77.6%,13.9%,8.5%,1327
Nebraska,Logan,26.3%,28.4%,95.0%,0.0%,5.0%,1328
Nebraska,Loup,26.9%,47.5%,91.3%,0.0%,8.7%,1331
Nebraska,McPherson,50.0%,26.5%,87.7%,8.3%,3.9%,1332
Nebraska,Madison,27.7%,33.5%,77.7%,19.4%,2.9%,1335
Nebraska,Merrick,31.9%,40.6%,86.5%,5.1%,8.4%,1337
Nebraska,Morrill,27.0%,40.1%,86.8%,5.0%,8.2%,1339
Nebraska,Nance,26.4%,41.2%,87.6%,7.9%,4.5%,1341
Nebraska,Nemaha,28.1%,38.0%,82.1%,12.6%,5.3%,1343
Nebraska,Nuckolls,23.0%,48.3%,92.1%,6.9%,1.0%,1345
Nebraska,Otoe,32.5%,38.1%,86.8%,9.2%,4.0%,1348
Nebraska,Pawnee,25.7%,44.0%,91.9%,3.4%,4.7%,1350
Nebraska,Perkins,30.5%,37.0%,91.5%,6.0%,2.4%,1352
Nebraska,Phelps,28.3%,38.0%,83.7%,12.8%,3.4%,1355
Nebraska,Pierce,35.9%,32.2%,91.9%,4.4%,3.6%,1356
Nebraska,Platte,31.7%,33.5%,80.4%,15.1%,4.5%,1359
Nebraska,Polk,29.3%,43.0%,90.3%,6.2%,3.5%,1362
Nebraska,Red Willow,30.2%,33.1%,82.2%,10.9%,6.9%,1364
Nebraska,Richardson,22.2%,46.7%,89.0%,6.6%,4.4%,1365
Nebraska,Rock,25.7%,37.6%,90.0%,2.9%,7.0%,1366
Nebraska,Saline,31.9%,33.7%,81.8%,14.3%,3.9%,1367
Nebraska,Sarpy,40.8%,22.7%,81.5%,17.4%,1.1%,1368
Nebraska,Saunders,35.8%,34.9%,91.1%,6.1%,2.9%,1370
Nebraska,Scotts Bluff,30.8%,37.7%,79.6%,15.1%,5.3%,1373
Nebraska,Seward,30.4%,35.2%,83.0%,12.7%,4.3%,1375
Nebraska,Sheridan,28.8%,40.3%,87.2%,5.4%,7.4%,1376
Nebraska,Sherman,24.3%,45.4%,92.4%,4.2%,3.5%,1377
Nebraska,Sioux,21.1%,44.5%,93.6%,0.0%,6.4%,1380
Nebraska,Stanton,35.5%,32.3%,89.1%,5.0%,5.8%,1382
Nebraska,Thayer,25.2%,46.7%,93.7%,4.9%,1.4%,1383
Nebraska,Thomas,23.8%,42.2%,93.4%,1.2%,5.4%,1384
Nebraska,Thurston,46.5%,35.4%,84.9%,6.6%,8.5%,1385
Nebraska,Valley,25.2%,48.5%,87.7%,10.6%,1.7%,1386
Nebraska,Washington,31.7%,36.9%,86.2%,10.1%,3.7%,1387
Nebraska,Wayne,31.0%,32.4%,85.1%,11.4%,3.5%,1388
Nebraska,Webster,25.8%,42.8%,89.9%,6.9%,3.2%,1389
Nebraska,Wheeler,25.3%,36.3%,91.4%,2.7%,6.0%,1390
Nebraska,York,27.6%,41.0%,82.5%,12.2%,5.3%,1392
Nevada,Churchill,28.0%,39.6%,70.7%,13.4%,16.0%,1396
Nevada,Clark,35.6%,30.1%,66.7%,29.7%,3.6%,1399
Nevada,Douglas,29.1%,43.8%,83.5%,9.7%,6.8%,1400
Nevada,Elko,39.5%,27.1%,65.5%,14.9%,19.6%,1401
Nevada,Esmeralda,15.6%,67.9%,27.4%,11.0%,61.5%,1404
Nevada,Eureka,32.3%,37.4%,54.7%,6.4%,39.0%,1406
Nevada,Humboldt,34.7%,27.6%,51.0%,7.1%,41.9%,1407
Nevada,Lander,46.7%,30.7%,51.1%,5.1%,43.8%,1408
Nevada,Lincoln,42.4%,39.9%,65.9%,5.5%,28.5%,1410
Nevada,Lyon,33.3%,40.4%,69.8%,8.5%,21.7%,1412
Nevada,Mineral,19.5%,48.7%,78.3%,7.6%,14.1%,1415
Nevada,Nye,25.7%,53.7%,49.1%,8.2%,42.7%,1417
Nevada,Pershing,41.2%,34.3%,55.0%,11.0%,34.0%,1419
Nevada,Storey,34.2%,39.5%,75.7%,1.4%,22.9%,1420
Nevada,Washoe,32.8%,31.2%,66.1%,27.3%,6.6%,1423
Nevada,White Pine,30.1%,39.9%,82.4%,4.7%,12.9%,1425
Nevada,Carson City,30.6%,39.2%,65.5%,22.7%,11.8%,1428
New Hampshire,Belknap,31.3%,37.8%,74.1%,18.4%,7.4%,1432
New Hampshire,Carroll,25.1%,43.3%,77.9%,13.9%,8.2%,1435
New Hampshire,Cheshire,30.0%,36.1%,69.5%,23.0%,7.6%,1437
New Hampshire,Coos,27.6%,37.6%,65.5%,25.3%,9.2%,1440
New Hampshire,Grafton,27.1%,36.1%,66.4%,23.7%,9.9%,1442
New Hampshire,Hillsborough,34.7%,29.2%,65.4%,32.6%,2.1%,1443
New Hampshire,Merrimack,32.1%,32.4%,68.6%,25.4%,6.0%,1444
New Hampshire,Rockingham,33.8%,31.4%,72.9%,21.1%,6.0%,1448
New Hampshire,Strafford,31.0%,29.4%,60.5%,29.3%,10.2%,1453
New Hampshire,Sullivan,30.6%,36.7%,67.4%,21.6%,10.9%,1454
New Jersey,Atlantic,33.9%,35.9%,69.7%,27.7%,2.6%,1461
New Jersey,Bergen,35.0%,37.5%,59.9%,39.8%,0.3%,1465
New Jersey,Burlington,35.5%,35.0%,80.8%,17.6%,1.6%,1470
New Jersey,Camden,35.9%,33.0%,74.6%,24.7%,0.7%,1472
New Jersey,Cape May,28.7%,44.1%,75.0%,21.7%,3.3%,1477
New Jersey,Cumberland,36.5%,36.5%,74.2%,20.2%,5.7%,1482
New Jersey,Essex,37.8%,31.5%,42.3%,57.5%,0.2%,1483
New Jersey,Gloucester,37.6%,32.4%,81.4%,16.3%,2.3%,1484
New Jersey,Hudson,31.5%,27.7%,17.0%,82.7%,0.2%,1487
New Jersey,Hunterdon,36.6%,32.8%,85.8%,13.9%,0.3%,1488
New Jersey,Mercer,35.0%,33.9%,72.1%,27.6%,0.3%,1493
New Jersey,Middlesex,37.9%,32.3%,65.8%,33.5%,0.7%,1497
New Jersey,Monmouth,35.9%,35.2%,75.3%,23.4%,1.3%,1504
New Jersey,Morris,36.6%,34.7%,75.6%,24.1%,0.3%,1511
New Jersey,Ocean,29.6%,47.1%,86.0%,11.6%,2.4%,1546
New Jersey,Passaic,36.9%,33.7%,48.4%,51.2%,0.4%,1551
New Jersey,Salem,32.4%,38.5%,79.2%,16.5%,4.3%,1553
New Jersey,Somerset,38.5%,31.8%,76.5%,23.2%,0.2%,1558
New Jersey,Sussex,38.5%,31.1%,86.3%,12.9%,0.8%,1561
New Jersey,Union,37.8%,33.9%,58.0%,41.7%,0.3%,1566
New Jersey,Warren,35.6%,34.3%,80.3%,18.4%,1.3%,1570
New Mexico,Bernalillo,32.2%,30.1%,70.9%,23.2%,5.8%,1574
New Mexico,Catron,10.3%,65.1%,71.4%,0.4%,28.2%,1576
New Mexico,Chaves,37.8%,36.4%,76.7%,9.6%,13.8%,1578
New Mexico,Cibola,35.7%,38.2%,70.9%,9.2%,19.9%,1580
New Mexico,Colfax,27.8%,42.6%,71.0%,7.9%,21.1%,1582
New Mexico,Curry,38.1%,28.7%,76.9%,14.0%,9.1%,1586
New Mexico,De Baca,19.1%,47.3%,70.4%,8.4%,21.2%,1589
New Mexico,Do�a Ana,36.9%,32.3%,60.6%,17.1%,22.3%,
New Mexico,Eddy,35.9%,36.3%,74.2%,9.4%,16.4%,1592
New Mexico,Grant,28.3%,45.7%,63.4%,7.3%,29.3%,1594
New Mexico,Guadalupe,26.7%,44.3%,64.1%,7.4%,28.6%,1595
New Mexico,Harding,34.9%,45.2%,73.5%,0.0%,26.5%,1597
New Mexico,Hidalgo,32.2%,38.7%,63.8%,7.5%,28.7%,1600
New Mexico,Lea,40.2%,30.5%,75.0%,8.3%,16.7%,1604
New Mexico,Lincoln,24.4%,47.6%,64.6%,8.6%,26.9%,1613
New Mexico,Los Alamos,33.1%,30.3%,78.7%,17.9%,3.4%,1618
New Mexico,Luna,34.4%,45.5%,59.7%,9.3%,31.1%,1622
New Mexico,McKinley,39.7%,36.2%,67.8%,8.0%,24.2%,1626
New Mexico,Mora,22.2%,44.1%,67.8%,0.8%,31.3%,1629
New Mexico,Otero,36.3%,35.9%,64.9%,9.5%,25.7%,1633
New Mexico,Quay,20.6%,46.4%,72.3%,7.0%,20.7%,1637
New Mexico,Rio Arriba,35.9%,36.4%,57.8%,3.6%,38.6%,1639
New Mexico,Roosevelt,36.2%,31.0%,69.9%,12.0%,18.1%,1642
New Mexico,Sandoval,36.9%,32.0%,86.9%,5.9%,7.2%,1646
New Mexico,San Juan,41.6%,30.3%,58.5%,8.3%,33.2%,1650
New Mexico,San Miguel,29.1%,34.7%,58.9%,8.9%,32.2%,1652
New Mexico,Santa Fe,27.8%,35.9%,70.0%,15.1%,14.9%,1654
New Mexico,Sierra,12.9%,63.1%,58.0%,7.7%,34.3%,1657
New Mexico,Socorro,29.4%,38.3%,56.7%,8.8%,34.5%,1659
New Mexico,Taos,25.4%,39.7%,75.0%,7.6%,17.5%,1662
New Mexico,Torrance,30.0%,41.7%,52.1%,2.0%,45.8%,1664
New Mexico,Union,26.7%,45.6%,82.9%,1.7%,15.4%,1667
New Mexico,Valencia,37.9%,33.0%,62.5%,4.8%,32.7%,1670
New York,Albany,27.9%,32.3%,57.5%,41.1%,1.4%,1673
New York,Allegany,31.5%,36.5%,73.4%,12.9%,13.6%,1674
New York,Bronx,41.2%,30.4%,10.9%,88.9%,0.2%,1681
New York,Broome,28.8%,36.5%,65.6%,29.6%,4.8%,1683
New York,Cattaraugus,30.5%,35.7%,71.8%,15.4%,12.8%,1687
New York,Cayuga,30.7%,35.3%,66.3%,23.2%,10.6%,1689
New York,Chautauqua,29.4%,36.7%,69.8%,23.3%,6.9%,1694
New York,Chemung,32.0%,36.9%,71.3%,23.3%,5.4%,1696
New York,Chenango,30.6%,37.6%,64.0%,15.2%,20.9%,1699
New York,Clinton,30.6%,32.8%,62.4%,21.7%,15.9%,1702
New York,Columbia,29.2%,38.3%,73.7%,18.0%,8.2%,1704
New York,Cortland,30.8%,34.6%,63.7%,27.2%,9.1%,1706
New York,Delaware,28.1%,43.3%,70.4%,15.9%,13.6%,1707
