County,State,Year Structure Built: 2000+,Year Structure Built: 1990 to 1999,Year Structure Built: 1980 to 1989,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
California,San Benito,9.9%,26.8%,19.5%,23.2%,10.8%,9.8%,4.8%,21.9%,36.2%,37.1%,295
California,San Bernardino,13.8%,13.6%,24.7%,28.9%,15.5%,3.5%,5.1%,27.6%,37.7%,29.5%,302
California,San Diego,11.1%,11.6%,19.3%,37.6%,16.1%,4.4%,6.1%,32.0%,39.5%,22.4%,315
California,San Francisco,5.0%,4.4%,5.0%,15.2%,20.5%,49.9%,29.7%,41.2%,21.2%,7.9%,331
California,San Joaquin,18.4%,13.8%,15.7%,28.2%,16.5%,7.5%,6.3%,29.1%,37.6%,27.0%,339
California,San Luis Obispo,15.0%,12.9%,22.9%,31.0%,12.9%,5.3%,4.4%,30.0%,38.9%,26.7%,351
California,San Mateo,4.3%,6.0%,9.3%,34.5%,36.7%,9.4%,5.6%,31.2%,39.3%,23.9%,368
California,Santa Barbara,8.1%,8.5%,16.2%,40.1%,17.6%,9.5%,6.6%,32.6%,37.1%,23.7%,391
California,Santa Clara,8.6%,10.1%,13.0%,42.7%,20.3%,5.3%,5.2%,28.7%,41.2%,24.9%,406
California,Santa Cruz,7.1%,7.5%,14.7%,38.9%,18.6%,13.3%,5.5%,29.1%,39.2%,26.2%,415
California,Shasta,12.1%,15.5%,18.6%,35.7%,14.0%,4.1%,7.0%,30.3%,38.1%,24.6%,431
California,Sierra,2.4%,9.1%,15.9%,31.8%,17.5%,23.2%,5.0%,26.4%,40.6%,28.0%,439
California,Siskiyou,8.1%,10.9%,17.8%,32.9%,17.5%,12.9%,7.4%,31.4%,35.1%,26.0%,446
California,Solano,13.0%,14.0%,21.1%,31.4%,14.0%,6.5%,5.1%,27.9%,38.3%,28.7%,453
California,Sonoma,9.9%,12.7%,19.6%,34.2%,15.0%,8.5%,5.3%,30.9%,39.4%,24.3%,463
California,Stanislaus,15.9%,13.8%,19.3%,29.2%,15.8%,5.9%,6.7%,29.2%,39.2%,24.9%,473
California,Sutter,15.2%,15.4%,16.4%,30.8%,16.0%,6.2%,6.2%,26.6%,41.5%,25.7%,483
California,Tehama,12.5%,13.9%,18.4%,33.0%,14.8%,7.4%,5.9%,30.8%,38.2%,25.1%,492
California,Trinity,6.3%,11.0%,23.5%,38.8%,13.7%,6.8%,2.0%,28.0%,39.1%,30.9%,500
California,Tulare,16.2%,14.8%,15.7%,31.4%,15.0%,6.9%,7.2%,30.8%,39.5%,22.5%,501
California,Tuolumne,11.3%,15.7%,22.1%,34.6%,9.8%,6.4%,5.0%,30.0%,34.7%,30.3%,513
California,Ventura,10.2%,10.8%,16.9%,45.0%,13.4%,3.7%,4.1%,26.5%,40.2%,29.2%,521
California,Yolo,16.7%,13.3%,14.9%,32.5%,16.2%,6.4%,7.1%,33.9%,37.7%,21.3%,525
California,Yuba,20.4%,10.3%,14.0%,31.3%,17.4%,6.7%,5.2%,28.4%,40.8%,25.6%,541
Colorado,Adams,23.0%,17.8%,12.1%,30.4%,15.0%,1.7%,5.1%,30.1%,41.0%,23.8%,545
Colorado,Alamosa,7.6%,14.1%,14.6%,34.4%,11.1%,18.1%,7.9%,35.7%,32.8%,23.6%,549
Colorado,Arapahoe,15.3%,13.9%,23.5%,36.8%,8.8%,1.6%,5.5%,35.4%,39.3%,19.9%,558
Colorado,Archuleta,22.3%,36.1%,19.6%,16.3%,3.3%,2.4%,1.9%,20.8%,51.5%,25.9%,560
Colorado,Baca,2.3%,8.3%,7.9%,36.6%,24.9%,20.0%,4.6%,25.3%,39.7%,30.5%,563
Colorado,Bent,5.0%,9.1%,9.7%,22.0%,20.3%,33.9%,7.1%,26.4%,42.3%,24.2%,564
Colorado,Boulder,12.0%,21.3%,16.2%,36.1%,7.3%,7.1%,5.0%,33.2%,41.1%,20.6%,570
Colorado,Broomfield,27.7%,26.5%,13.3%,25.9%,6.3%,0.2%,2.4%,29.9%,41.6%,26.1%,577
Colorado,Chaffee,11.3%,22.1%,10.3%,32.5%,7.2%,16.6%,2.4%,28.3%,41.4%,27.9%,582
Colorado,Cheyenne,6.4%,10.6%,12.7%,29.8%,18.2%,22.3%,4.2%,21.5%,31.6%,42.7%,587
Colorado,Clear Creek,5.6%,12.4%,14.5%,37.6%,7.9%,22.1%,3.0%,24.7%,47.0%,25.3%,591
Colorado,Conejos,6.5%,13.2%,12.0%,29.0%,11.3%,27.9%,7.3%,21.7%,36.7%,34.4%,596
Colorado,Costilla,3.3%,19.5%,10.9%,30.9%,13.1%,22.4%,8.9%,37.3%,36.5%,17.3%,599
Colorado,Crowley,4.6%,12.7%,10.1%,13.6%,18.8%,40.1%,5.9%,29.1%,31.6%,33.4%,605
Colorado,Custer,21.6%,22.6%,18.2%,17.2%,2.7%,17.7%,4.0%,24.3%,40.9%,30.8%,610
Colorado,Delta,13.4%,17.8%,11.7%,27.1%,10.5%,19.5%,2.4%,25.4%,37.3%,34.9%,617
Colorado,Denver,11.6%,6.6%,7.8%,28.0%,24.4%,21.7%,12.6%,43.0%,33.1%,11.3%,628
Colorado,Dolores,3.4%,30.9%,7.8%,25.0%,22.0%,10.9%,0.4%,24.8%,33.0%,41.8%,636
Colorado,Douglas,38.3%,38.5%,14.5%,7.3%,0.5%,0.8%,1.5%,20.4%,53.3%,24.8%,644
Colorado,Eagle,10.9%,32.9%,23.0%,25.9%,3.3%,4.0%,1.9%,28.2%,44.8%,25.1%,648
Colorado,Elbert,15.6%,39.5%,17.8%,17.1%,3.1%,6.9%,1.5%,9.9%,40.4%,48.2%,655
Colorado,El Paso,19.6%,17.2%,18.3%,29.8%,9.5%,5.6%,5.4%,30.6%,41.7%,22.3%,661
Colorado,Fremont,13.0%,23.9%,12.8%,24.8%,9.5%,16.1%,4.3%,29.0%,38.7%,28.0%,664
Colorado,Garfield,19.5%,25.4%,16.1%,24.0%,7.7%,7.3%,3.8%,24.8%,41.6%,29.8%,667
Colorado,Gilpin,9.9%,33.0%,14.7%,28.3%,5.4%,8.7%,3.8%,18.3%,41.1%,36.9%,672
Colorado,Grand,7.1%,20.9%,20.8%,35.9%,8.9%,6.5%,2.0%,25.3%,41.1%,31.6%,677
Colorado,Gunnison,10.4%,23.9%,12.7%,38.0%,4.1%,10.8%,5.7%,33.4%,37.0%,23.9%,682
Colorado,Hinsdale,6.3%,20.8%,23.5%,13.3%,13.7%,22.4%,0.0%,30.2%,43.9%,25.9%,688
Colorado,Huerfano,4.0%,26.9%,12.5%,15.0%,13.2%,28.5%,9.1%,28.8%,35.8%,26.3%,693
Colorado,Jackson,8.3%,21.9%,14.1%,20.9%,16.5%,18.4%,1.7%,22.8%,48.1%,27.4%,701
Colorado,Jefferson,9.1%,15.4%,17.8%,41.9%,12.7%,3.1%,4.4%,29.9%,39.9%,25.8%,706
Colorado,Kiowa,2.3%,10.3%,14.6%,22.2%,23.8%,26.8%,3.5%,39.4%,27.2%,29.9%,711
Colorado,Kit Carson,3.3%,9.7%,8.2%,35.4%,21.7%,21.8%,6.0%,29.5%,39.4%,25.0%,716
Colorado,Lake,6.8%,5.8%,9.5%,28.2%,15.8%,33.9%,3.9%,31.2%,35.6%,29.2%,721
Colorado,La Plata,16.9%,22.4%,15.2%,24.5%,10.8%,10.1%,3.1%,27.0%,43.2%,26.7%,727
Colorado,Larimer,20.2%,21.2%,15.5%,30.8%,6.1%,6.2%,3.8%,28.3%,43.0%,25.0%,734
Colorado,Las Animas,8.7%,14.1%,8.9%,16.7%,14.3%,37.2%,10.1%,28.2%,35.0%,26.7%,741
Colorado,Lincoln,2.1%,10.9%,10.2%,37.8%,14.5%,24.4%,5.1%,32.7%,29.6%,32.6%,747
Colorado,Logan,3.4%,11.1%,6.6%,28.8%,25.3%,24.7%,7.0%,34.3%,32.3%,26.4%,749
Colorado,Mesa,20.3%,17.6%,14.3%,28.1%,11.7%,7.9%,4.9%,27.5%,39.9%,27.8%,751
Colorado,Mineral,12.0%,22.3%,21.8%,19.5%,7.0%,17.3%,0.0%,28.9%,31.4%,39.8%,757
Colorado,Moffat,5.6%,13.7%,19.9%,39.4%,12.6%,8.8%,3.3%,26.7%,40.3%,29.8%,758
Colorado,Montezuma,13.4%,17.7%,17.6%,26.4%,14.5%,10.4%,5.8%,29.7%,37.8%,26.7%,766
Colorado,Montrose,21.8%,19.7%,15.3%,25.1%,7.5%,10.5%,3.6%,28.5%,39.0%,28.9%,769
Colorado,Morgan,7.7%,10.0%,10.5%,30.1%,22.9%,18.9%,5.2%,31.6%,36.4%,26.8%,775
Colorado,Otero,4.6%,7.5%,7.6%,25.1%,25.9%,29.3%,8.0%,28.1%,38.4%,25.5%,777
Colorado,Ouray,18.0%,31.0%,19.3%,13.9%,1.4%,16.5%,1.1%,23.6%,40.0%,35.4%,780
Colorado,Park,10.1%,31.9%,21.6%,26.8%,3.7%,5.8%,4.3%,19.7%,40.3%,35.7%,782
Colorado,Phillips,4.0%,7.3%,2.9%,28.3%,20.7%,36.8%,5.5%,29.0%,37.4%,28.2%,785
Colorado,Pitkin,9.6%,23.7%,15.4%,40.8%,3.9%,6.6%,3.7%,37.5%,40.8%,18.1%,789
Colorado,Prowers,3.9%,8.0%,14.0%,32.4%,17.8%,23.9%,6.6%,34.5%,34.5%,24.4%,792
Colorado,Pueblo,14.8%,13.9%,7.0%,26.6%,22.1%,15.5%,7.4%,32.7%,36.2%,23.6%,795
Colorado,Rio Blanco,5.9%,10.5%,20.2%,35.4%,17.1%,10.9%,4.0%,26.4%,36.9%,32.7%,799
Colorado,Rio Grande,7.9%,10.7%,8.0%,31.4%,13.1%,29.0%,5.6%,26.7%,37.6%,30.1%,802
Colorado,Routt,10.4%,23.4%,18.9%,33.9%,5.4%,8.0%,2.3%,24.5%,45.6%,27.6%,809
Colorado,Saguache,6.7%,20.0%,15.8%,23.2%,14.6%,19.6%,4.7%,33.2%,32.9%,29.2%,811
Colorado,San Juan,4.4%,10.9%,17.5%,9.7%,11.9%,45.5%,9.5%,47.7%,35.3%,7.5%,347
Colorado,San Miguel,8.1%,33.8%,16.0%,20.1%,7.6%,14.5%,6.6%,34.1%,36.8%,22.6%,359
Colorado,Sedgwick,1.4%,5.2%,8.1%,20.5%,22.8%,42.0%,3.2%,30.6%,39.4%,26.8%,366
Colorado,Summit,6.9%,26.9%,19.6%,42.8%,2.4%,1.4%,3.0%,30.4%,44.9%,21.6%,373
Colorado,Teller,14.9%,26.3%,22.7%,26.3%,3.9%,5.9%,1.7%,21.3%,46.9%,30.1%,375
Colorado,Washington,5.7%,4.7%,11.8%,24.2%,21.6%,32.0%,5.5%,21.8%,35.9%,36.8%,377
Colorado,Weld,30.7%,17.4%,8.5%,25.9%,8.3%,9.3%,4.0%,25.4%,39.6%,31.0%,382
Colorado,Yuma,4.0%,14.2%,10.0%,23.7%,22.6%,25.5%,3.5%,22.9%,37.7%,35.9%,385
Connecticut,Fairfield,5.6%,6.5%,11.7%,28.8%,25.8%,21.6%,8.5%,30.7%,39.4%,21.5%,410
Connecticut,Hartford,5.3%,6.8%,12.7%,27.7%,26.2%,21.3%,10.2%,33.8%,38.2%,17.7%,432
Connecticut,Litchfield,6.9%,9.5%,15.7%,24.3%,18.8%,24.7%,4.7%,28.9%,41.1%,25.3%,443
Connecticut,Middlesex,8.3%,10.6%,16.2%,29.7%,17.5%,17.6%,4.5%,29.0%,41.9%,24.6%,450
Connecticut,New Haven,5.0%,7.4%,12.9%,26.5%,23.3%,25.1%,10.7%,33.9%,36.7%,18.8%,466
Connecticut,New London,8.1%,9.0%,13.9%,28.5%,16.8%,23.6%,6.3%,30.9%,39.8%,23.0%,517
Connecticut,Tolland,10.1%,10.6%,15.9%,31.3%,17.1%,15.0%,2.9%,25.8%,44.1%,27.1%,524
Connecticut,Windham,8.1%,9.9%,15.0%,25.8%,13.8%,27.3%,6.7%,30.7%,38.8%,23.9%,529
Delaware,Kent,25.3%,19.4%,14.2%,23.8%,10.8%,6.5%,6.5%,30.5%,41.1%,21.9%,532
Delaware,New Castle,9.8%,14.8%,14.0%,28.0%,22.2%,11.3%,7.9%,34.0%,40.2%,17.9%,536
Delaware,Sussex,25.2%,21.0%,17.5%,19.8%,9.1%,7.5%,4.3%,32.5%,42.5%,20.7%,609
District of Columbia,District of Columbia,6.1%,2.5%,4.2%,20.7%,30.3%,36.2%,35.7%,44.0%,16.3%,4.0%,630
Florida,Alachua,19.1%,18.6%,22.0%,28.8%,9.0%,2.6%,7.6%,42.2%,34.3%,15.9%,639
Florida,Baker,12.9%,31.0%,21.2%,25.1%,7.7%,2.2%,2.9%,29.3%,45.4%,22.5%,641
Florida,Bay,17.6%,19.4%,22.8%,26.2%,11.5%,2.5%,5.0%,35.0%,41.7%,18.3%,658
Florida,Bradford,15.1%,15.7%,25.9%,26.2%,14.5%,2.6%,5.8%,32.8%,36.9%,24.4%,665
Florida,Brevard,18.4%,18.2%,25.6%,29.5%,7.5%,0.8%,4.5%,38.8%,40.5%,16.1%,686
Florida,Broward,10.2%,17.3%,19.2%,41.8%,10.8%,0.8%,7.1%,41.2%,37.4%,14.2%,695
Florida,Calhoun,8.7%,21.4%,19.2%,31.4%,15.2%,4.2%,7.1%,41.2%,32.9%,18.8%,699
Florida,Charlotte,20.9%,20.9%,29.9%,24.0%,3.7%,0.7%,4.7%,44.1%,38.8%,12.4%,743
Florida,Citrus,21.0%,21.4%,29.0%,25.4%,2.5%,0.8%,4.2%,42.0%,41.6%,12.2%,843
Florida,Clay,29.1%,22.5%,21.4%,21.8%,4.0%,1.1%,3.1%,27.3%,45.7%,23.9%,852
Florida,Collier,24.4%,29.2%,25.2%,19.1%,1.8%,0.3%,4.3%,42.3%,41.5%,11.9%,894
Florida,Columbia,17.1%,25.0%,22.0%,24.3%,9.1%,2.4%,5.5%,40.2%,36.6%,17.7%,903
Florida,DeSoto,14.1%,16.6%,21.4%,30.6%,11.3%,6.0%,5.8%,44.7%,33.6%,15.9%,906
Florida,Dixie,21.7%,23.6%,22.0%,22.5%,9.7%,0.5%,3.2%,37.5%,39.2%,20.1%,918
Florida,Duval,17.6%,16.4%,18.3%,26.1%,16.8%,4.8%,7.7%,38.8%,38.8%,14.7%,924
Florida,Escambia,12.7%,16.9%,18.9%,32.6%,14.9%,4.1%,7.8%,37.3%,38.7%,16.3%,931
Florida,Flagler,43.7%,24.3%,20.1%,9.7%,1.9%,0.3%,3.7%,36.1%,46.2%,14.0%,935
Florida,Franklin,11.2%,22.2%,19.0%,28.0%,15.5%,4.2%,8.3%,37.9%,40.7%,13.1%,937
Florida,Gadsden,8.6%,22.2%,19.0%,26.3%,18.0%,5.9%,12.7%,35.3%,34.3%,17.6%,938
Florida,Gilchrist,20.0%,26.9%,25.0%,21.0%,3.6%,3.6%,4.5%,30.0%,42.0%,23.5%,939
Florida,Glades,17.0%,19.3%,19.4%,33.0%,9.1%,2.2%,0.7%,41.6%,46.7%,11.0%,940
Florida,Gulf,16.9%,21.0%,23.7%,18.4%,16.3%,3.7%,9.0%,34.0%,38.3%,18.7%,941
Florida,Hamilton,9.4%,23.7%,22.6%,26.7%,11.0%,6.7%,8.6%,35.1%,35.5%,20.8%,942
Florida,Hardee,16.3%,16.8%,15.4%,36.1%,11.7%,3.8%,4.8%,38.2%,41.0%,15.9%,943
Florida,Hendry,10.4%,26.9%,28.0%,23.6%,7.9%,3.2%,7.4%,36.5%,38.0%,18.2%,944
Florida,Hernando,24.4%,21.3%,33.7%,17.6%,2.3%,0.7%,4.3%,42.4%,39.4%,13.9%,945
Florida,Highlands,16.0%,19.6%,28.1%,27.2%,7.2%,1.9%,5.3%,49.8%,34.2%,10.7%,946
Florida,Hillsborough,19.5%,17.7%,22.5%,26.5%,10.9%,2.9%,6.6%,39.3%,39.9%,14.2%,947
Florida,Holmes,10.5%,16.1%,22.8%,35.8%,10.7%,4.2%,6.9%,38.4%,36.4%,18.2%,948
Florida,Indian River,25.1%,20.3%,24.4%,22.0%,7.0%,1.2%,5.5%,42.5%,39.8%,12.3%,949
Florida,Jackson,12.5%,17.2%,20.6%,30.3%,14.6%,4.7%,7.1%,34.8%,37.0%,21.1%,950
Florida,Jefferson,11.0%,28.8%,22.5%,19.7%,7.7%,10.3%,9.1%,30.6%,40.7%,19.5%,951
Florida,Lafayette,20.0%,22.8%,18.0%,24.8%,12.0%,2.4%,2.6%,25.6%,47.5%,24.3%,952
Florida,Lake,29.3%,24.2%,19.2%,18.2%,6.7%,2.5%,3.9%,42.2%,39.5%,14.5%,953
Florida,Lee,29.8%,18.9%,23.8%,23.0%,3.8%,0.8%,4.7%,44.1%,39.0%,12.2%,954
Florida,Leon,16.8%,22.3%,23.7%,26.3%,9.0%,1.9%,6.5%,37.3%,38.2%,17.9%,955
Florida,Levy,14.9%,29.4%,20.2%,26.6%,5.8%,3.2%,6.2%,35.7%,39.8%,18.3%,956
Florida,Liberty,6.4%,21.2%,28.4%,27.7%,15.0%,1.3%,6.4%,29.1%,40.9%,23.5%,957
Florida,Madison,8.4%,25.2%,22.1%,24.9%,10.7%,8.7%,10.2%,27.6%,41.7%,20.4%,958
Florida,Manatee,21.5%,17.0%,20.3%,30.9%,8.2%,2.1%,4.6%,44.9%,38.6%,12.0%,959
Florida,Marion,26.6%,23.9%,24.3%,19.8%,3.9%,1.4%,4.7%,43.8%,37.0%,14.5%,960
Florida,Martin,16.1%,19.1%,27.9%,30.5%,5.4%,1.0%,4.6%,41.9%,39.0%,14.6%,961
Florida,Miami-Dade,10.8%,12.4%,15.8%,33.8%,23.3%,3.9%,11.1%,39.1%,35.3%,14.5%,962
Florida,Monroe,9.2%,13.7%,20.2%,37.2%,13.0%,6.7%,8.1%,41.0%,39.4%,11.5%,963
Florida,Nassau,18.9%,28.3%,22.3%,20.5%,7.1%,2.8%,3.8%,28.4%,44.2%,23.7%,964
Florida,Okaloosa,17.7%,20.6%,21.8%,29.0%,10.1%,0.9%,3.8%,31.7%,43.5%,21.0%,965
Florida,Okeechobee,17.1%,18.6%,22.6%,35.0%,5.9%,0.7%,5.9%,36.1%,42.1%,16.0%,966
Florida,Orange,22.8%,21.4%,22.0%,21.6%,10.2%,2.0%,5.9%,37.8%,41.0%,15.3%,967
Florida,Osceola,32.5%,25.8%,23.3%,13.6%,3.3%,1.5%,5.3%,34.4%,42.0%,18.3%,968
Florida,Palm Beach,15.8%,18.9%,28.1%,28.3%,7.2%,1.7%,6.2%,43.4%,38.0%,12.4%,969
Florida,Pasco,24.5%,16.4%,23.8%,31.0%,3.4%,0.9%,4.6%,42.4%,39.8%,13.2%,970
Florida,Pinellas,5.8%,9.3%,20.2%,42.1%,19.0%,3.5%,7.8%,45.8%,35.3%,11.1%,971
Florida,Polk,21.4%,18.2%,20.8%,26.7%,9.2%,3.7%,5.7%,40.9%,38.1%,15.3%,972
Florida,Putnam,13.8%,16.7%,22.0%,32.9%,9.9%,4.7%,6.7%,36.9%,40.0%,16.4%,973
Florida,St. Johns,35.7%,24.1%,18.0%,13.9%,5.6%,2.7%,3.9%,31.9%,47.8%,16.4%,974
Florida,St. Lucie,29.1%,18.5%,25.6%,20.1%,5.8%,0.9%,4.5%,39.7%,39.7%,16.1%,975
Florida,Santa Rosa,27.1%,26.3%,17.5%,20.9%,6.9%,1.3%,3.3%,28.5%,45.2%,23.1%,976
Florida,Sarasota,18.9%,16.1%,22.2%,32.3%,9.1%,1.4%,5.8%,45.4%,37.1%,11.7%,977
Florida,Seminole,16.7%,18.8%,29.6%,29.0%,4.9%,0.9%,3.9%,34.5%,43.4%,18.3%,978
Florida,Sumter,37.0%,29.0%,15.0%,13.7%,3.6%,1.7%,4.4%,55.8%,29.1%,10.7%,979
Florida,Suwannee,15.1%,25.5%,24.0%,22.9%,8.5%,4.1%,6.7%,32.6%,39.5%,21.2%,980
Florida,Taylor,11.7%,23.2%,23.4%,22.5%,13.7%,5.6%,5.1%,35.3%,39.0%,20.6%,981
Florida,Union,10.3%,32.4%,19.7%,26.8%,6.4%,4.3%,4.4%,31.6%,39.1%,24.9%,982
Florida,Volusia,17.7%,16.6%,25.2%,27.8%,9.9%,2.8%,5.7%,40.7%,38.3%,15.2%,983
Florida,Wakulla,26.6%,30.3%,16.9%,19.3%,5.4%,1.6%,3.0%,28.8%,40.9%,27.3%,984
Florida,Walton,27.0%,27.8%,18.2%,17.3%,6.9%,2.8%,4.7%,34.6%,42.2%,18.5%,985
Florida,Washington,13.7%,22.6%,21.8%,27.8%,9.1%,5.0%,5.4%,37.6%,34.2%,22.8%,986
Georgia,Appling,11.1%,26.4%,19.9%,24.3%,10.4%,8.0%,7.7%,31.6%,39.9%,20.7%,987
Georgia,Atkinson,8.9%,25.7%,17.2%,26.3%,13.2%,8.7%,7.7%,33.6%,34.0%,24.6%,988
Georgia,Bacon,4.4%,22.3%,14.4%,39.1%,11.6%,8.2%,6.2%,34.0%,36.5%,23.3%,989
Georgia,Baker,3.9%,21.9%,20.7%,29.9%,12.5%,11.1%,14.0%,36.4%,28.5%,21.1%,990
Georgia,Baldwin,10.4%,20.7%,21.9%,33.5%,8.7%,4.8%,9.7%,34.2%,33.7%,22.3%,991
Georgia,Banks,19.2%,24.8%,22.3%,19.5%,7.8%,6.3%,3.8%,28.0%,36.7%,31.5%,992
Georgia,Barrow,27.7%,26.7%,20.8%,14.9%,5.6%,4.3%,4.1%,25.8%,41.3%,28.8%,993
Georgia,Bartow,21.4%,25.4%,17.8%,24.7%,6.8%,3.9%,4.0%,30.2%,41.4%,24.4%,994
Georgia,Ben Hill,9.3%,18.5%,15.7%,37.2%,10.9%,8.5%,13.4%,38.4%,28.9%,19.2%,995
Georgia,Berrien,8.0%,28.2%,17.5%,22.8%,13.1%,10.4%,6.3%,29.6%,41.0%,23.2%,996
Georgia,Bibb,11.1%,13.3%,13.9%,33.6%,19.7%,8.5%,11.2%,37.0%,33.0%,18.9%,997
Georgia,Bleckley,4.7%,24.2%,15.5%,31.9%,14.9%,8.8%,4.4%,44.3%,33.9%,17.4%,998
Georgia,Brantley,9.0%,31.9%,28.5%,20.2%,6.4%,4.1%,5.4%,26.7%,40.3%,27.6%,999
Georgia,Brooks,7.9%,29.4%,16.5%,23.4%,12.2%,10.7%,4.4%,31.5%,41.5%,22.6%,565
Georgia,Bryan,27.9%,33.1%,16.6%,14.0%,6.0%,2.3%,3.9%,22.2%,44.9%,29.1%,573
Georgia,Bulloch,24.5%,25.1%,15.7%,21.7%,8.1%,5.0%,6.1%,32.7%,37.6%,23.6%,579
Georgia,Burke,10.2%,22.9%,19.4%,33.2%,8.5%,5.7%,10.6%,29.8%,31.8%,27.8%,583
Georgia,Butts,20.0%,19.1%,16.1%,25.7%,9.5%,9.5%,6.1%,25.9%,36.2%,31.7%,588
Georgia,Calhoun,3.0%,14.0%,10.8%,42.6%,18.8%,10.8%,14.8%,32.3%,35.0%,17.9%,592
Georgia,Camden,23.3%,34.3%,21.3%,14.6%,4.1%,2.4%,4.5%,27.1%,43.9%,24.6%,603
Georgia,Candler,14.9%,23.1%,14.1%,25.4%,7.3%,15.2%,5.2%,34.0%,40.6%,20.3%,616
Georgia,Carroll,26.1%,20.7%,17.2%,22.7%,8.1%,5.2%,5.5%,29.9%,37.5%,27.1%,620
Georgia,Catoosa,22.8%,24.1%,13.1%,24.2%,11.2%,4.6%,4.0%,30.6%,41.0%,24.5%,626
Georgia,Charlton,8.4%,24.8%,17.5%,27.9%,13.1%,8.2%,12.0%,29.3%,37.8%,20.8%,635
Georgia,Chatham,19.0%,14.9%,15.3%,25.3%,16.2%,9.2%,8.6%,38.7%,38.7%,14.0%,646
Georgia,Chattahoochee,5.8%,17.3%,11.9%,29.7%,20.0%,15.3%,3.5%,22.8%,52.3%,21.5%,656
Georgia,Chattooga,7.5%,13.9%,13.7%,32.9%,23.6%,8.5%,4.3%,47.1%,30.9%,17.7%,659
Georgia,Cherokee,36.1%,27.8%,19.1%,12.5%,2.6%,1.8%,2.4%,24.8%,48.0%,24.7%,662
Georgia,Clarke,19.8%,18.2%,16.3%,30.0%,9.9%,5.9%,8.1%,37.2%,36.1%,18.6%,666
Georgia,Clay,6.6%,14.7%,22.5%,24.9%,15.6%,15.6%,18.4%,38.3%,29.3%,14.0%,670
Georgia,Clayton,22.8%,17.3%,19.1%,34.0%,6.0%,0.9%,7.5%,41.0%,34.5%,16.9%,673
Georgia,Clinch,16.5%,19.2%,14.4%,31.7%,12.9%,5.3%,12.5%,29.3%,39.8%,18.4%,676
Georgia,Cobb,18.5%,22.9%,27.1%,24.4%,6.2%,0.9%,3.7%,33.3%,42.8%,20.2%,680
Georgia,Coffee,13.6%,26.0%,20.0%,25.4%,8.2%,6.8%,6.5%,34.8%,37.4%,21.2%,684
Georgia,Colquitt,12.1%,18.1%,16.7%,28.5%,16.7%,7.8%,7.8%,35.4%,37.4%,19.4%,689
Georgia,Columbia,27.7%,26.4%,20.5%,21.5%,3.0%,0.9%,2.7%,24.9%,44.7%,27.7%,692
Georgia,Cook,9.6%,26.4%,14.4%,31.4%,9.5%,8.8%,6.0%,37.8%,35.6%,20.6%,697
Georgia,Coweta,31.6%,30.9%,14.2%,13.9%,4.8%,4.6%,3.6%,25.1%,43.7%,27.6%,700
Georgia,Crawford,9.1%,40.0%,21.3%,21.3%,4.5%,3.9%,4.5%,24.3%,34.0%,37.3%,704
Georgia,Crisp,9.2%,26.3%,19.0%,25.4%,14.7%,5.3%,11.9%,38.9%,31.8%,17.4%,707
Georgia,Dade,14.7%,22.1%,19.7%,26.9%,11.6%,5.0%,4.7%,31.4%,30.9%,33.0%,708
Georgia,Dawson,30.8%,29.6%,21.6%,12.7%,3.5%,1.8%,1.7%,24.0%,42.8%,31.5%,713
Georgia,Decatur,10.4%,21.4%,16.9%,26.2%,16.3%,8.7%,10.0%,37.1%,31.1%,21.8%,714
Georgia,DeKalb,16.1%,14.9%,18.4%,32.9%,13.8%,4.0%,9.4%,41.0%,35.8%,13.8%,718
Georgia,Dodge,4.5%,20.0%,14.3%,37.7%,16.4%,7.1%,9.0%,34.2%,34.7%,22.1%,720
Georgia,Dooly,2.7%,24.2%,15.5%,30.0%,14.6%,13.0%,9.7%,39.4%,33.5%,17.5%,724
Georgia,Dougherty,11.4%,11.4%,13.5%,40.3%,20.1%,3.3%,11.4%,42.3%,30.7%,15.6%,728
Georgia,Douglas,33.6%,19.6%,17.1%,24.2%,4.0%,1.5%,3.2%,29.4%,40.7%,26.7%,731
Georgia,Early,4.4%,14.5%,16.3%,40.8%,16.5%,7.5%,10.6%,39.1%,31.7%,18.5%,735
Georgia,Echols,15.3%,26.1%,25.7%,16.6%,14.9%,1.4%,9.7%,30.0%,36.9%,23.4%,737
Georgia,Effingham,25.9%,37.7%,15.8%,12.3%,3.8%,4.5%,2.7%,24.5%,44.9%,27.9%,742
Georgia,Elbert,7.4%,16.7%,16.5%,37.1%,13.9%,8.5%,10.2%,28.0%,35.1%,26.7%,746
Georgia,Emanuel,7.0%,20.1%,19.3%,30.2%,13.7%,9.6%,8.9%,35.2%,34.5%,21.4%,750
Georgia,Evans,13.4%,22.3%,20.8%,23.0%,14.7%,5.9%,7.0%,33.3%,38.2%,21.5%,754
Georgia,Fannin,13.0%,23.4%,21.3%,25.2%,11.8%,5.3%,3.9%,28.6%,39.6%,27.9%,755
Georgia,Fayette,19.3%,31.1%,28.1%,18.5%,1.6%,1.4%,2.3%,22.3%,43.0%,32.3%,760
Georgia,Floyd,12.2%,14.2%,14.3%,31.0%,18.8%,9.4%,9.0%,31.0%,37.3%,22.7%,764
