County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units
Howard County,Missouri,27.5%,46.7%,82.6%,8.1%,9.4%
Howell County,Missouri,27.5%,45.3%,75.8%,9.3%,14.9%
Iron County,Missouri,31.9%,47.1%,78.0%,8.4%,13.6%
Jackson County,Missouri,27.9%,35.8%,73.5%,25.5%,1.0%
Jasper County,Missouri,32.1%,37.8%,79.0%,15.0%,6.0%
Jefferson County,Missouri,34.3%,39.6%,81.6%,8.6%,9.8%
Johnson County,Missouri,31.6%,32.4%,72.4%,18.9%,8.7%
Knox County,Missouri,21.0%,55.6%,87.9%,3.7%,8.4%
Laclede County,Missouri,34.1%,40.2%,72.6%,11.3%,16.2%
Lafayette County,Missouri,28.9%,44.4%,80.1%,12.7%,7.2%
Lawrence County,Missouri,32.0%,43.4%,81.7%,8.3%,10.0%
Lewis County,Missouri,26.6%,47.2%,77.9%,8.9%,13.2%
Lincoln County,Missouri,35.8%,37.9%,79.8%,6.5%,13.7%
Linn County,Missouri,30.3%,44.0%,85.6%,9.3%,5.1%
Livingston County,Missouri,29.1%,43.1%,80.0%,12.6%,7.3%
McDonald County,Missouri,36.1%,40.6%,67.3%,9.2%,23.5%
Macon County,Missouri,25.3%,51.6%,76.0%,12.7%,11.3%
Madison County,Missouri,31.3%,44.5%,80.0%,9.5%,10.5%
Maries County,Missouri,25.9%,44.7%,76.7%,7.6%,15.7%
Marion County,Missouri,33.2%,41.3%,78.0%,17.9%,4.2%
Mercer County,Missouri,24.8%,53.9%,87.7%,8.3%,4.0%
Miller County,Missouri,30.2%,41.4%,74.7%,11.7%,13.6%
Mississippi County,Missouri,32.3%,42.0%,75.8%,17.2%,7.0%
Moniteau County,Missouri,32.5%,43.8%,84.9%,8.7%,6.4%
Monroe County,Missouri,24.3%,51.4%,75.4%,8.1%,16.5%
Montgomery County,Missouri,32.0%,42.6%,80.1%,7.0%,12.9%
Morgan County,Missouri,23.8%,50.4%,76.8%,8.2%,14.9%
New Madrid County,Missouri,31.4%,41.6%,74.1%,14.3%,11.6%
Newton County,Missouri,32.1%,41.9%,80.0%,7.7%,12.3%
Nodaway County,Missouri,23.1%,36.2%,72.0%,22.8%,5.2%
Oregon County,Missouri,28.2%,50.5%,78.4%,3.2%,18.4%
Osage County,Missouri,30.4%,40.8%,87.3%,7.5%,5.1%
Ozark County,Missouri,20.6%,56.7%,79.6%,2.6%,17.8%
Pemiscot County,Missouri,33.2%,42.0%,77.1%,16.0%,6.9%
Perry County,Missouri,30.8%,41.0%,80.5%,12.4%,7.1%
Pettis County,Missouri,32.0%,41.4%,81.8%,13.5%,4.7%
Phelps County,Missouri,30.1%,36.7%,68.5%,22.6%,8.9%
Pike County,Missouri,32.9%,46.1%,74.7%,13.6%,11.7%
Platte County,Missouri,34.0%,34.8%,75.8%,23.7%,0.5%
Polk County,Missouri,34.7%,41.8%,78.5%,9.9%,11.6%
Pulaski County,Missouri,38.7%,26.9%,75.5%,15.2%,9.3%
Putnam County,Missouri,19.7%,55.9%,86.1%,6.0%,7.9%
Ralls County,Missouri,26.1%,48.7%,84.2%,3.6%,12.3%
Randolph County,Missouri,29.5%,42.0%,76.5%,10.2%,13.3%
Ray County,Missouri,30.2%,45.4%,86.1%,9.7%,4.2%
Reynolds County,Missouri,24.9%,52.2%,80.7%,2.0%,17.3%
Ripley County,Missouri,29.6%,51.2%,72.4%,5.8%,21.8%
St. Charles County,Missouri,33.7%,38.5%,84.1%,13.2%,2.7%
St. Clair County,Missouri,22.9%,54.0%,75.0%,5.8%,19.1%
Ste. Genevieve County,Missouri,29.0%,47.0%,84.2%,6.2%,9.6%
St. Francois County,Missouri,31.0%,40.8%,72.2%,17.5%,10.3%
St. Louis County,Missouri,29.1%,41.5%,77.4%,22.4%,0.2%
Saline County,Missouri,25.3%,44.7%,80.3%,12.8%,6.8%
Schuyler County,Missouri,27.1%,45.3%,75.1%,10.9%,14.0%
Scotland County,Missouri,31.3%,45.9%,83.0%,8.0%,9.0%
Scott County,Missouri,30.6%,40.8%,77.8%,11.5%,10.7%
Shannon County,Missouri,31.2%,46.6%,79.3%,3.4%,17.3%
Shelby County,Missouri,28.5%,44.1%,81.9%,8.3%,9.8%
Stoddard County,Missouri,30.3%,44.8%,80.4%,11.4%,8.2%
Stone County,Missouri,20.6%,62.6%,80.3%,7.6%,12.1%
Sullivan County,Missouri,26.6%,42.4%,81.8%,6.4%,11.9%
Taney County,Missouri,27.0%,46.6%,63.9%,22.7%,13.4%
Texas County,Missouri,27.8%,49.2%,76.6%,6.7%,16.8%
Vernon County,Missouri,27.7%,45.3%,79.8%,9.6%,10.6%
Warren County,Missouri,31.4%,42.8%,80.2%,8.5%,11.2%
Washington County,Missouri,31.8%,44.3%,65.5%,5.1%,29.4%
Wayne County,Missouri,22.3%,56.1%,76.6%,4.6%,18.8%
Webster County,Missouri,32.0%,41.9%,82.0%,7.9%,10.2%
Worth County,Missouri,25.6%,52.2%,84.5%,8.9%,6.6%
Wright County,Missouri,34.0%,50.6%,77.6%,8.9%,13.5%
St. Louis city,Missouri,22.2%,32.9%,49.4%,50.1%,0.4%
Beaverhead County,Montana,25.4%,45.4%,71.3%,11.8%,16.8%
Big Horn County,Montana,40.8%,45.8%,75.3%,8.6%,16.1%
Blaine County,Montana,38.7%,40.2%,80.8%,9.6%,9.6%
Broadwater County,Montana,21.9%,55.1%,85.8%,2.9%,11.3%
Carbon County,Montana,19.5%,52.9%,81.7%,5.9%,12.4%
Carter County,Montana,19.4%,53.7%,69.4%,3.5%,27.1%
Cascade County,Montana,26.8%,41.7%,73.1%,18.5%,8.4%
Chouteau County,Montana,34.3%,49.9%,81.3%,5.4%,13.3%
Custer County,Montana,28.4%,44.4%,74.4%,16.7%,8.8%
Daniels County,Montana,23.7%,48.5%,88.3%,6.8%,4.9%
Dawson County,Montana,28.3%,43.1%,71.9%,15.3%,12.8%
Deer Lodge County,Montana,25.1%,51.4%,78.8%,16.2%,5.0%
Fallon County,Montana,24.5%,38.7%,77.9%,6.1%,15.9%
Fergus County,Montana,24.2%,48.8%,79.9%,9.0%,11.1%
Flathead County,Montana,25.4%,46.7%,76.0%,13.1%,10.9%
Gallatin County,Montana,25.8%,30.1%,67.4%,25.7%,7.0%
Garfield County,Montana,27.0%,44.9%,79.9%,7.8%,12.4%
Glacier County,Montana,35.4%,42.2%,69.1%,14.9%,16.0%
Golden Valley County,Montana,23.0%,58.4%,80.1%,0.0%,19.9%
Granite County,Montana,14.4%,61.8%,82.5%,3.6%,13.9%
Hill County,Montana,33.2%,37.3%,75.3%,13.3%,11.4%
Jefferson County,Montana,29.3%,50.0%,88.3%,3.2%,8.4%
Judith Basin County,Montana,16.0%,47.8%,85.5%,2.5%,12.0%
Lake County,Montana,28.0%,50.4%,77.0%,9.8%,13.2%
Lewis and Clark County,Montana,27.1%,42.2%,72.7%,18.4%,8.8%
Liberty County,Montana,27.5%,49.8%,64.1%,26.1%,9.8%
Lincoln County,Montana,18.5%,59.0%,78.5%,5.5%,16.0%
McCone County,Montana,19.2%,48.5%,86.3%,2.1%,11.6%
Madison County,Montana,17.3%,59.2%,83.9%,7.3%,8.8%
Meagher County,Montana,15.8%,69.6%,79.8%,2.9%,17.3%
Mineral County,Montana,24.8%,54.5%,70.3%,4.0%,25.7%
Missoula County,Montana,24.6%,35.4%,64.2%,27.6%,8.3%
Musselshell County,Montana,22.0%,54.0%,82.6%,3.4%,14.0%
Park County,Montana,20.9%,44.2%,76.2%,13.6%,10.1%
Petroleum County,Montana,20.3%,47.2%,74.1%,0.9%,25.0%
Phillips County,Montana,25.6%,49.4%,83.6%,3.5%,12.9%
Pondera County,Montana,28.0%,53.9%,80.6%,8.9%,10.6%
Powder River County,Montana,26.5%,54.5%,74.5%,2.4%,23.1%
Powell County,Montana,18.8%,45.1%,78.7%,9.9%,11.5%
Prairie County,Montana,23.1%,58.2%,80.1%,3.4%,16.5%
Ravalli County,Montana,25.2%,53.1%,80.6%,9.8%,9.5%
Richland County,Montana,25.0%,39.9%,70.1%,14.5%,15.4%
Roosevelt County,Montana,35.4%,40.7%,84.4%,6.1%,9.5%
Rosebud County,Montana,31.0%,45.6%,68.6%,11.0%,20.4%
Sanders County,Montana,18.2%,58.8%,80.0%,4.1%,15.8%
Sheridan County,Montana,21.8%,47.3%,84.9%,6.6%,8.5%
Silver Bow County,Montana,24.4%,44.3%,78.2%,15.8%,6.0%
Stillwater County,Montana,22.2%,50.9%,81.1%,3.9%,15.1%
Sweet Grass County,Montana,26.0%,54.3%,79.7%,10.5%,9.8%
Teton County,Montana,27.8%,48.9%,87.3%,5.4%,7.4%
Toole County,Montana,25.8%,44.6%,70.8%,16.9%,12.3%
Treasure County,Montana,11.4%,61.9%,84.4%,3.0%,12.6%
Valley County,Montana,24.8%,49.8%,80.8%,12.2%,7.0%
Wheatland County,Montana,31.0%,54.1%,85.4%,7.2%,7.4%
Wibaux County,Montana,27.9%,53.5%,82.6%,3.1%,14.3%
Yellowstone County,Montana,30.1%,38.4%,71.7%,18.2%,10.1%
Adams County,Nebraska,30.0%,43.2%,80.4%,15.6%,4.0%
Antelope County,Nebraska,24.4%,51.4%,89.7%,5.3%,5.0%
Arthur County,Nebraska,27.6%,59.9%,92.2%,0.0%,7.8%
Banner County,Nebraska,25.6%,60.3%,94.4%,0.4%,5.1%
Blaine County,Nebraska,16.0%,50.2%,89.5%,1.7%,8.9%
Boone County,Nebraska,29.1%,45.3%,91.1%,8.3%,0.6%
Box Butte County,Nebraska,30.4%,47.0%,79.2%,16.0%,4.7%
Boyd County,Nebraska,16.6%,60.2%,93.3%,3.3%,3.4%
Brown County,Nebraska,19.2%,58.7%,88.6%,8.3%,3.2%
Buffalo County,Nebraska,30.1%,36.0%,74.2%,19.4%,6.4%
Burt County,Nebraska,27.1%,52.4%,88.8%,8.4%,2.8%
Butler County,Nebraska,28.8%,46.4%,88.0%,8.1%,4.0%
Cass County,Nebraska,32.2%,41.9%,89.4%,7.1%,3.5%
Cedar County,Nebraska,28.8%,47.6%,92.4%,5.0%,2.6%
Chase County,Nebraska,28.8%,49.0%,89.9%,2.3%,7.8%
Cherry County,Nebraska,24.8%,48.5%,83.0%,10.7%,6.3%
Cheyenne County,Nebraska,24.7%,42.7%,77.4%,18.1%,4.5%
Clay County,Nebraska,29.4%,43.2%,88.5%,9.6%,1.9%
Colfax County,Nebraska,36.6%,36.2%,80.0%,9.4%,10.5%
Cuming County,Nebraska,26.8%,42.7%,86.7%,11.1%,2.3%
Custer County,Nebraska,30.1%,42.9%,89.9%,7.0%,3.1%
Dakota County,Nebraska,37.0%,33.2%,68.9%,22.0%,9.1%
Dawes County,Nebraska,27.2%,37.9%,77.7%,18.3%,4.1%
Dawson County,Nebraska,38.9%,38.4%,76.6%,15.6%,7.8%
Deuel County,Nebraska,22.4%,46.5%,92.3%,5.3%,2.3%
Dixon County,Nebraska,29.4%,43.9%,91.4%,5.9%,2.7%
Dodge County,Nebraska,30.3%,41.0%,79.6%,15.8%,4.6%
Douglas County,Nebraska,32.1%,33.2%,73.0%,26.1%,0.9%
Dundy County,Nebraska,26.2%,48.3%,86.6%,5.8%,7.6%
Fillmore County,Nebraska,26.9%,44.8%,91.0%,8.0%,1.1%
Franklin County,Nebraska,22.7%,46.2%,95.2%,2.0%,2.8%
Frontier County,Nebraska,25.8%,52.8%,90.3%,6.9%,2.8%
Furnas County,Nebraska,26.3%,50.3%,92.2%,6.8%,1.0%
Gage County,Nebraska,26.3%,45.0%,86.1%,13.0%,0.9%
Garden County,Nebraska,24.8%,53.3%,91.2%,2.4%,6.5%
Garfield County,Nebraska,22.1%,48.6%,89.7%,5.6%,4.6%
Gosper County,Nebraska,22.3%,50.2%,90.7%,3.3%,6.0%
Grant County,Nebraska,25.9%,48.5%,86.5%,0.0%,13.5%
Greeley County,Nebraska,27.4%,51.7%,91.0%,6.8%,2.2%
Hall County,Nebraska,37.0%,35.6%,73.2%,21.9%,4.9%
Hamilton County,Nebraska,32.0%,43.7%,91.6%,5.5%,3.0%
Harlan County,Nebraska,25.5%,50.0%,90.4%,4.5%,5.1%
Hayes County,Nebraska,21.1%,53.0%,95.4%,0.0%,4.6%
Hitchcock County,Nebraska,26.8%,52.5%,90.2%,5.1%,4.6%
Holt County,Nebraska,25.6%,44.6%,86.3%,9.6%,4.1%
Hooker County,Nebraska,21.2%,46.2%,88.6%,0.0%,11.4%
Howard County,Nebraska,32.0%,45.3%,89.3%,6.5%,4.2%
Jefferson County,Nebraska,21.3%,53.3%,90.8%,7.8%,1.4%
Johnson County,Nebraska,29.7%,47.6%,89.2%,8.1%,2.7%
Kearney County,Nebraska,29.9%,44.7%,88.7%,5.3%,5.9%
Keith County,Nebraska,20.3%,50.6%,83.7%,10.2%,6.1%
Keya Paha County,Nebraska,22.1%,51.6%,80.5%,1.1%,18.3%
Kimball County,Nebraska,23.3%,54.3%,83.9%,6.1%,9.9%
Knox County,Nebraska,26.3%,48.2%,90.8%,6.6%,2.6%
Lancaster County,Nebraska,29.8%,33.4%,68.8%,29.8%,1.4%
Lincoln County,Nebraska,31.9%,42.3%,80.5%,13.1%,6.4%
Logan County,Nebraska,32.9%,40.1%,88.4%,2.8%,8.8%
Loup County,Nebraska,28.8%,43.7%,84.8%,0.0%,15.2%
McPherson County,Nebraska,12.6%,63.3%,97.0%,0.0%,3.0%
Madison County,Nebraska,28.1%,35.9%,75.7%,20.3%,4.0%
Merrick County,Nebraska,27.2%,42.7%,89.0%,6.4%,4.7%
Morrill County,Nebraska,27.9%,47.5%,91.1%,3.8%,5.1%
Nance County,Nebraska,30.5%,41.0%,95.4%,4.1%,0.5%
Nemaha County,Nebraska,27.3%,44.7%,87.1%,11.3%,1.7%
Nuckolls County,Nebraska,20.8%,56.0%,91.3%,5.7%,3.0%
Otoe County,Nebraska,30.9%,43.2%,84.9%,12.3%,2.8%
Pawnee County,Nebraska,24.5%,50.0%,96.6%,2.0%,1.4%
Perkins County,Nebraska,29.2%,49.8%,90.0%,8.7%,1.3%
Phelps County,Nebraska,28.4%,42.0%,85.4%,9.9%,4.8%
Pierce County,Nebraska,31.0%,41.0%,91.7%,4.9%,3.4%
Platte County,Nebraska,31.0%,42.0%,81.4%,14.1%,4.5%
Polk County,Nebraska,30.6%,51.9%,92.8%,4.8%,2.4%
Red Willow County,Nebraska,20.8%,48.1%,82.3%,12.1%,5.5%
Richardson County,Nebraska,26.4%,49.0%,92.6%,5.8%,1.6%
Rock County,Nebraska,26.6%,46.8%,91.1%,3.4%,5.5%
Saline County,Nebraska,39.1%,36.8%,86.8%,9.8%,3.4%
Sarpy County,Nebraska,38.4%,31.1%,80.2%,19.1%,0.7%
Saunders County,Nebraska,31.6%,43.3%,88.7%,8.5%,2.8%
Scotts Bluff County,Nebraska,32.7%,42.6%,81.5%,14.3%,4.2%
Seward County,Nebraska,31.5%,40.1%,82.2%,15.5%,2.4%
Sheridan County,Nebraska,23.5%,49.7%,84.0%,8.6%,7.4%
Sherman County,Nebraska,22.6%,54.2%,90.3%,4.1%,5.6%
Sioux County,Nebraska,28.7%,47.7%,85.1%,6.4%,8.5%
Stanton County,Nebraska,30.4%,41.6%,87.0%,7.2%,5.9%
Thayer County,Nebraska,22.3%,49.9%,93.5%,5.2%,1.2%
Thomas County,Nebraska,22.1%,48.9%,91.7%,5.1%,3.3%
Thurston County,Nebraska,48.6%,38.2%,87.1%,10.2%,2.7%
Valley County,Nebraska,27.8%,51.4%,89.8%,7.8%,2.4%
Washington County,Nebraska,31.5%,42.5%,83.6%,11.2%,5.2%
Wayne County,Nebraska,23.2%,37.2%,82.8%,16.5%,0.7%
Webster County,Nebraska,28.4%,44.2%,88.3%,8.7%,3.0%
Wheeler County,Nebraska,11.9%,57.8%,89.2%,2.3%,8.5%
York County,Nebraska,26.8%,41.7%,84.5%,12.9%,2.6%
Churchill County,Nevada,26.6%,42.0%,71.4%,12.8%,15.8%
Clark County,Nevada,31.2%,37.7%,67.4%,29.9%,2.7%
Douglas County,Nevada,20.9%,56.2%,83.6%,10.5%,5.9%
Elko County,Nevada,38.1%,30.5%,65.3%,14.6%,20.0%
Esmeralda County,Nevada,15.5%,62.1%,28.0%,24.3%,47.8%
Eureka County,Nevada,33.0%,53.0%,54.0%,6.5%,39.5%
Humboldt County,Nevada,32.2%,42.9%,51.9%,9.7%,38.4%
Lander County,Nevada,38.8%,31.0%,41.0%,2.8%,56.2%
Lincoln County,Nevada,26.4%,53.9%,78.5%,6.1%,15.4%
Lyon County,Nevada,30.6%,49.2%,76.4%,6.0%,17.6%
Mineral County,Nevada,22.4%,61.4%,76.7%,6.0%,17.3%
Nye County,Nevada,19.0%,59.5%,57.9%,9.4%,32.7%
Pershing County,Nevada,29.1%,49.8%,42.6%,11.1%,46.3%
Storey County,Nevada,18.8%,62.4%,81.2%,1.1%,17.7%
Washoe County,Nevada,29.3%,40.1%,64.9%,29.5%,5.5%
White Pine County,Nevada,27.7%,42.6%,73.2%,6.2%,20.6%
Carson City,Nevada,28.9%,48.1%,66.3%,24.6%,9.2%
Belknap County,New Hampshire,26.1%,48.5%,72.5%,18.6%,8.9%
Carroll County,New Hampshire,19.2%,54.2%,79.3%,14.2%,6.5%
Cheshire County,New Hampshire,24.7%,45.4%,69.6%,24.2%,6.2%
Coos County,New Hampshire,21.2%,51.8%,69.0%,22.0%,9.0%
Grafton County,New Hampshire,22.6%,47.4%,68.5%,24.0%,7.5%
Hillsborough County,New Hampshire,28.9%,38.9%,63.2%,34.7%,2.2%
Merrimack County,New Hampshire,28.3%,44.0%,68.3%,25.5%,6.2%
Rockingham County,New Hampshire,29.4%,43.1%,73.8%,21.3%,4.9%
Strafford County,New Hampshire,27.8%,38.0%,61.1%,29.0%,9.9%
Sullivan County,New Hampshire,24.2%,46.2%,70.3%,19.6%,10.1%
Atlantic County,New Jersey,29.6%,45.8%,69.2%,27.9%,2.9%
Bergen County,New Jersey,32.5%,43.3%,59.1%,40.5%,0.4%
Burlington County,New Jersey,31.4%,42.8%,81.0%,17.8%,1.2%
Camden County,New Jersey,32.2%,41.0%,73.2%,26.2%,0.7%
Cape May County,New Jersey,25.1%,55.3%,79.0%,18.1%,2.9%
Cumberland County,New Jersey,33.0%,42.2%,76.1%,19.0%,4.9%
Essex County,New Jersey,34.4%,37.6%,40.7%,59.2%,0.1%
Gloucester County,New Jersey,32.8%,42.3%,82.9%,14.9%,2.1%
Hudson County,New Jersey,30.3%,31.4%,15.5%,84.3%,0.2%
Hunterdon County,New Jersey,29.3%,46.5%,85.0%,14.7%,0.3%
Mercer County,New Jersey,32.2%,41.4%,71.0%,28.6%,0.4%
Middlesex County,New Jersey,35.4%,41.0%,64.8%,34.5%,0.7%
Monmouth County,New Jersey,29.8%,44.8%,75.9%,23.3%,0.9%
Morris County,New Jersey,32.9%,42.3%,74.3%,25.4%,0.3%
Ocean County,New Jersey,27.2%,52.7%,85.0%,12.6%,2.4%
Passaic County,New Jersey,36.4%,42.0%,47.9%,51.9%,0.2%
Salem County,New Jersey,28.5%,45.6%,78.9%,17.9%,3.2%
Somerset County,New Jersey,34.1%,40.4%,75.0%,24.8%,0.2%
Sussex County,New Jersey,30.1%,44.1%,87.5%,11.8%,0.7%
Union County,New Jersey,36.5%,40.2%,57.2%,42.5%,0.3%
Warren County,New Jersey,28.2%,45.2%,79.1%,19.7%,1.2%
Bernalillo County,New Mexico,27.3%,39.3%,71.4%,23.0%,5.7%
Catron County,New Mexico,16.0%,76.5%,68.8%,0.3%,30.9%
Chaves County,New Mexico,35.4%,41.6%,76.1%,9.5%,14.4%
Cibola County,New Mexico,34.2%,50.2%,68.8%,8.3%,22.9%
Colfax County,New Mexico,23.3%,53.4%,69.7%,8.3%,22.1%
Curry County,New Mexico,36.7%,32.8%,78.1%,13.1%,8.8%
De Baca County,New Mexico,29.4%,48.4%,77.6%,9.6%,12.8%
Doña Ana County,New Mexico,32.7%,40.1%,63.8%,16.2%,20.0%
Eddy County,New Mexico,35.4%,39.3%,71.9%,9.0%,19.1%
Grant County,New Mexico,19.2%,54.8%,62.0%,13.2%,24.8%
Guadalupe County,New Mexico,12.9%,66.7%,62.6%,14.8%,22.6%
Harding County,New Mexico,13.6%,61.4%,77.3%,0.0%,22.7%
Hidalgo County,New Mexico,27.7%,51.8%,53.3%,6.1%,40.6%
Lea County,New Mexico,42.5%,34.3%,72.0%,10.0%,18.0%
Lincoln County,New Mexico,19.4%,58.0%,62.9%,6.2%,30.9%
Los Alamos County,New Mexico,28.5%,41.7%,71.2%,24.2%,4.6%
Luna County,New Mexico,32.3%,48.9%,55.6%,11.2%,33.2%
McKinley County,New Mexico,37.7%,43.6%,66.4%,9.9%,23.7%
Mora County,New Mexico,13.0%,63.5%,56.0%,0.1%,43.9%
Otero County,New Mexico,31.1%,42.9%,67.8%,7.2%,25.0%
Quay County,New Mexico,21.1%,56.6%,71.0%,5.6%,23.4%
Rio Arriba County,New Mexico,25.4%,47.9%,59.9%,4.1%,35.9%
Roosevelt County,New Mexico,29.3%,36.5%,67.8%,10.5%,21.7%
Sandoval County,New Mexico,31.0%,45.6%,86.1%,6.1%,7.8%
San Juan County,New Mexico,35.4%,42.6%,58.1%,9.5%,32.4%
San Miguel County,New Mexico,26.0%,48.9%,52.7%,10.4%,36.9%
Santa Fe County,New Mexico,22.1%,52.0%,70.3%,13.9%,15.7%
Sierra County,New Mexico,18.0%,64.2%,54.3%,10.2%,35.5%
Socorro County,New Mexico,25.6%,53.3%,56.9%,10.0%,33.1%
Taos County,New Mexico,19.7%,55.8%,75.0%,7.9%,17.1%
Torrance County,New Mexico,30.2%,49.2%,56.2%,1.7%,42.1%
Union County,New Mexico,21.3%,54.1%,78.7%,7.5%,13.7%
Valencia County,New Mexico,29.9%,48.3%,66.5%,4.4%,29.2%
Albany County,New York,25.4%,39.4%,56.2%,42.6%,1.2%
Allegany County,New York,29.2%,46.7%,79.0%,9.9%,11.2%
Bronx County,New York,36.3%,38.1%,11.2%,88.5%,0.2%
Broome County,New York,24.9%,44.0%,66.1%,29.6%,4.4%
Cattaraugus County,New York,28.7%,44.9%,71.2%,16.9%,11.9%
Cayuga County,New York,27.2%,46.3%,70.1%,20.3%,9.6%
Chautauqua County,New York,26.1%,45.0%,70.6%,23.3%,6.1%
Chemung County,New York,28.6%,42.6%,70.6%,25.0%,4.4%
Chenango County,New York,26.0%,46.9%,63.1%,16.8%,20.2%
Clinton County,New York,25.4%,41.1%,64.2%,22.6%,13.2%
Columbia County,New York,24.1%,50.4%,73.1%,17.8%,9.1%
Cortland County,New York,27.6%,40.2%,68.2%,26.0%,5.8%
Delaware County,New York,23.1%,53.6%,72.9%,15.4%,11.7%
Dutchess County,New York,27.9%,45.4%,69.3%,27.4%,3.3%
Erie County,New York,25.7%,41.3%,64.1%,34.5%,1.4%
Essex County,New York,26.3%,50.5%,76.7%,15.6%,7.8%
Franklin County,New York,28.0%,44.0%,73.0%,16.8%,10.2%
Fulton County,New York,28.5%,46.2%,68.4%,22.0%,9.6%
Genesee County,New York,26.5%,43.1%,71.5%,22.6%,5.9%
Greene County,New York,22.9%,54.2%,75.9%,17.0%,7.0%
Hamilton County,New York,16.5%,58.7%,85.7%,4.3%,10.0%
Herkimer County,New York,25.7%,47.3%,71.4%,19.7%,8.9%
Jefferson County,New York,32.2%,33.8%,62.4%,29.6%,8.0%
Kings County,New York,30.0%,37.4%,14.2%,85.6%,0.2%
Lewis County,New York,29.2%,45.2%,76.7%,11.1%,12.3%
Livingston County,New York,24.2%,44.2%,73.0%,17.6%,9.4%
Madison County,New York,27.3%,47.4%,75.4%,16.0%,8.6%
Monroe County,New York,27.2%,40.3%,70.3%,28.9%,0.8%
Montgomery County,New York,27.3%,45.3%,62.1%,31.5%,6.4%
Nassau County,New York,35.2%,49.3%,80.3%,19.4%,0.2%
New York County,New York,17.9%,35.3%,2.0%,97.8%,0.2%
Niagara County,New York,26.1%,44.6%,74.2%,22.6%,3.3%
Oneida County,New York,28.2%,44.2%,66.6%,27.7%,5.7%
Onondaga County,New York,27.3%,42.0%,69.1%,29.7%,1.2%
Ontario County,New York,28.4%,45.7%,72.6%,20.7%,6.7%
Orange County,New York,36.0%,40.8%,70.4%,27.7%,2.0%
Orleans County,New York,29.3%,44.2%,76.3%,12.9%,10.8%
Oswego County,New York,31.3%,41.8%,70.2%,16.5%,13.3%
Otsego County,New York,24.1%,48.2%,69.6%,19.5%,10.9%
Putnam County,New York,33.1%,48.8%,85.5%,13.6%,0.9%
Queens County,New York,30.1%,43.2%,29.0%,70.8%,0.2%
Rensselaer County,New York,25.8%,39.6%,62.2%,35.1%,2.7%
Richmond County,New York,34.2%,46.3%,61.4%,38.4%,0.2%
Rockland County,New York,37.2%,45.4%,65.8%,33.3%,0.9%
St. Lawrence County,New York,27.6%,43.5%,70.5%,19.7%,9.8%
Saratoga County,New York,28.3%,41.5%,68.3%,24.7%,6.9%
Schenectady County,New York,25.7%,42.3%,64.0%,35.1%,1.0%
Schoharie County,New York,25.7%,47.9%,71.1%,16.0%,12.9%
Schuyler County,New York,24.4%,49.7%,70.9%,11.7%,17.4%
Seneca County,New York,24.7%,45.6%,70.2%,17.8%,12.0%
Steuben County,New York,28.5%,44.2%,70.0%,17.6%,12.4%
Suffolk County,New York,32.4%,47.3%,85.3%,13.7%,1.0%
Sullivan County,New York,29.6%,48.7%,71.7%,17.3%,11.1%
Tioga County,New York,26.7%,45.9%,71.9%,14.1%,14.0%
Tompkins County,New York,21.9%,34.6%,55.3%,36.8%,7.9%
Ulster County,New York,24.8%,47.5%,72.0%,21.9%,6.1%
Warren County,New York,21.8%,47.9%,71.9%,23.6%,4.6%
Washington County,New York,26.2%,45.5%,74.7%,19.6%,5.7%
Wayne County,New York,28.1%,43.4%,78.3%,14.9%,6.9%
Westchester County,New York,33.0%,44.3%,50.8%,49.0%,0.3%
Wyoming County,New York,27.0%,43.1%,77.6%,14.7%,7.6%
Yates County,New York,25.7%,51.3%,78.8%,13.6%,7.7%
Alamance County,North Carolina,30.7%,40.2%,70.7%,18.2%,11.1%
Alexander County,North Carolina,30.9%,47.4%,70.3%,3.5%,26.2%
Alleghany County,North Carolina,24.9%,52.2%,74.7%,5.5%,19.8%
Anson County,North Carolina,25.0%,43.8%,71.2%,7.2%,21.7%
Ashe County,North Carolina,22.6%,51.1%,72.6%,7.9%,19.5%
Avery County,North Carolina,22.2%,53.5%,72.4%,8.5%,19.1%
Beaufort County,North Carolina,25.5%,51.2%,66.9%,8.5%,24.6%
Bertie County,North Carolina,24.1%,52.9%,61.2%,3.3%,35.5%
Bladen County,North Carolina,28.1%,48.5%,62.7%,4.6%,32.7%
Brunswick County,North Carolina,19.0%,58.7%,75.0%,6.2%,18.8%
Buncombe County,North Carolina,23.1%,44.1%,66.0%,20.2%,13.9%
Burke County,North Carolina,26.1%,46.8%,69.2%,7.6%,23.3%
Cabarrus County,North Carolina,37.9%,34.8%,83.6%,11.1%,5.3%
Caldwell County,North Carolina,29.9%,46.8%,72.4%,9.3%,18.3%
Camden County,North Carolina,40.7%,45.4%,80.8%,3.5%,15.7%
Carteret County,North Carolina,23.7%,53.3%,73.3%,12.0%,14.7%
Caswell County,North Carolina,26.3%,50.5%,70.1%,6.7%,23.2%
Catawba County,North Carolina,30.3%,41.9%,72.3%,14.6%,13.1%
Chatham County,North Carolina,27.4%,52.1%,78.2%,7.2%,14.6%
Cherokee County,North Carolina,19.5%,58.3%,75.9%,3.8%,20.2%
Chowan County,North Carolina,25.2%,49.0%,62.1%,12.4%,25.5%
Clay County,North Carolina,18.0%,62.5%,76.6%,8.3%,15.1%
