County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available
La Paz County,Arizona,83.7%,70.4%,13.3%,0.1%,6.2%,1.2%,2.8%,5.9%,88.8%,2.2%,46.7%,16.6%,9.0%,6.2%,2.8%,8.8%,2.3%,6.6%,1.1%,14.6,4.9%,26.7%,45.5%,22.9%
Maricopa County,Arizona,88.4%,75.8%,12.6%,2.4%,1.7%,0.8%,1.6%,5.2%,97.8%,1.1%,10.5%,12.5%,15.0%,15.5%,6.9%,17.2%,7.7%,8.5%,6.4%,25.7,3.0%,23.4%,45.4%,28.2%
Mohave County,Arizona,92.4%,77.1%,15.3%,0.5%,1.8%,0.1%,2.0%,3.3%,79.3%,1.3%,21.5%,22.6%,22.7%,12.7%,3.5%,6.2%,2.7%,3.2%,4.9%,19.4,1.9%,21.8%,43.2%,33.1%
Navajo County,Arizona,86.6%,71.8%,14.8%,0.7%,4.8%,0.5%,0.9%,6.5%,91.8%,6.2%,31.8%,15.9%,12.9%,11.5%,3.3%,9.0%,2.9%,4.5%,8.2%,21.8,3.6%,24.0%,37.6%,34.9%
Pima County,Arizona,86.7%,75.7%,11.0%,2.5%,2.7%,1.3%,2.0%,4.8%,97.0%,2.1%,11.5%,14.0%,16.4%,17.2%,7.2%,15.7%,6.8%,6.3%,4.8%,23.9,3.6%,25.2%,42.3%,28.9%
Pinal County,Arizona,90.6%,76.0%,14.6%,0.3%,1.7%,0.2%,1.5%,5.7%,46.7%,51.5%,12.6%,9.9%,8.3%,8.9%,4.7%,15.7%,9.6%,15.8%,14.4%,32.4,2.5%,20.5%,50.4%,26.5%
Santa Cruz County,Arizona,91.6%,79.6%,12.0%,0.2%,2.4%,0.0%,1.6%,4.2%,88.5%,8.0%,16.6%,27.3%,22.0%,14.7%,2.8%,7.1%,2.1%,1.7%,5.8%,19.0,1.8%,20.0%,39.8%,38.4%
Yavapai County,Arizona,87.0%,73.9%,13.1%,0.1%,3.1%,0.6%,1.5%,7.7%,91.9%,7.0%,22.4%,15.9%,15.8%,14.9%,5.0%,12.3%,4.4%,3.9%,5.3%,21.7,2.6%,21.0%,41.2%,35.2%
Yuma County,Arizona,89.4%,74.7%,14.6%,2.2%,2.6%,0.5%,2.0%,3.4%,95.1%,0.6%,20.6%,19.1%,19.6%,15.1%,4.7%,11.2%,3.6%,2.9%,3.3%,19.1,2.5%,24.3%,41.8%,31.5%
Arkansas County,Arkansas,93.2%,80.9%,12.3%,0.3%,3.5%,0.4%,0.3%,2.4%,91.3%,7.9%,44.5%,20.8%,10.3%,8.3%,2.3%,4.4%,2.3%,3.1%,3.9%,14.7,5.6%,24.5%,44.9%,25.0%
Ashley County,Arkansas,93.6%,84.6%,9.0%,0.6%,1.5%,0.2%,2.9%,1.2%,85.5%,10.4%,31.5%,20.8%,16.7%,9.7%,1.9%,8.4%,2.3%,1.8%,7.0%,18.6,2.8%,19.3%,40.3%,37.6%
Baxter County,Arkansas,94.1%,82.9%,11.2%,0.2%,1.6%,0.1%,0.7%,3.3%,86.2%,10.1%,27.8%,23.4%,18.0%,12.2%,4.7%,6.9%,2.6%,1.1%,3.4%,17.1,1.4%,20.2%,48.5%,29.9%
Benton County,Arkansas,91.4%,80.3%,11.1%,0.1%,2.4%,0.2%,1.5%,4.4%,81.1%,16.1%,15.2%,17.2%,19.5%,15.9%,7.5%,12.7%,4.3%,4.9%,2.6%,20.8,1.6%,19.4%,48.8%,30.2%
Boone County,Arkansas,92.2%,79.6%,12.6%,0.1%,1.3%,0.0%,0.8%,5.6%,86.5%,6.2%,23.1%,20.0%,20.2%,11.8%,5.1%,9.3%,2.6%,3.2%,4.8%,19.7,2.1%,20.1%,38.6%,39.3%
Bradley County,Arkansas,86.8%,74.7%,12.1%,0.3%,7.4%,0.0%,1.9%,3.6%,83.1%,16.2%,36.0%,23.1%,13.4%,6.7%,1.9%,4.8%,2.3%,4.2%,7.5%,17.2,0.4%,29.2%,35.9%,34.6%
Calhoun County,Arkansas,93.5%,80.5%,13.0%,0.0%,0.6%,0.0%,3.6%,2.3%,35.9%,60.6%,10.9%,14.8%,13.2%,15.3%,7.2%,16.1%,6.5%,10.3%,5.6%,26.1,0.6%,25.5%,35.3%,38.6%
Carroll County,Arkansas,87.4%,73.7%,13.7%,0.0%,3.7%,0.1%,0.9%,8.0%,87.4%,7.8%,28.8%,12.9%,16.6%,11.9%,2.8%,15.7%,2.2%,5.1%,4.0%,19.1,1.3%,20.4%,40.1%,38.3%
Chicot County,Arkansas,85.7%,74.8%,10.9%,0.5%,2.7%,0.0%,7.4%,3.8%,72.0%,15.8%,25.9%,20.0%,13.8%,9.7%,2.0%,12.3%,2.3%,9.6%,4.4%,21.0,3.8%,29.7%,33.7%,32.9%
Clark County,Arkansas,90.3%,79.1%,11.2%,0.4%,4.5%,0.6%,1.3%,2.9%,76.5%,21.6%,30.0%,16.2%,15.9%,9.8%,2.8%,7.9%,4.4%,5.9%,7.0%,21.0,2.8%,20.7%,41.7%,34.7%
Clay County,Arkansas,95.8%,86.3%,9.5%,0.0%,1.7%,0.0%,0.2%,2.3%,56.8%,25.9%,33.1%,9.6%,10.6%,7.1%,5.5%,12.5%,5.6%,9.2%,6.8%,22.6,2.0%,19.4%,43.4%,35.2%
Cleburne County,Arkansas,90.5%,78.7%,11.8%,0.0%,2.9%,0.2%,2.6%,3.8%,71.4%,26.7%,27.6%,13.4%,12.0%,9.9%,3.9%,10.9%,5.9%,6.5%,10.0%,23.9,2.1%,16.4%,45.0%,36.4%
Cleveland County,Arkansas,95.5%,80.2%,15.3%,0.0%,1.2%,0.3%,0.6%,2.5%,35.1%,62.7%,12.3%,8.4%,14.2%,15.3%,7.3%,21.5%,7.1%,9.2%,4.7%,26.2,1.3%,17.6%,44.9%,36.1%
Columbia County,Arkansas,89.4%,82.8%,6.6%,0.4%,3.2%,0.3%,3.3%,3.4%,86.5%,8.4%,32.9%,21.4%,14.7%,9.6%,3.4%,7.0%,1.9%,3.4%,5.7%,17.9,1.4%,19.3%,48.3%,31.0%
Conway County,Arkansas,93.6%,82.3%,11.3%,0.2%,0.9%,0.0%,1.8%,3.6%,57.5%,41.7%,19.8%,15.1%,11.0%,8.5%,6.8%,18.5%,7.2%,6.8%,6.3%,23.8,0.7%,17.9%,40.7%,40.6%
Craighead County,Arkansas,92.5%,83.4%,9.1%,0.1%,1.3%,0.3%,0.8%,5.1%,89.4%,9.1%,19.2%,25.1%,23.4%,14.2%,4.7%,5.8%,2.0%,1.5%,4.0%,17.8,2.7%,18.6%,47.4%,31.3%
Crawford County,Arkansas,94.6%,81.5%,13.1%,0.1%,1.5%,0.1%,0.2%,3.4%,52.1%,45.4%,14.4%,13.5%,17.9%,21.3%,6.6%,13.3%,6.1%,4.4%,2.4%,21.1,1.4%,18.0%,44.7%,35.9%
Crittenden County,Arkansas,93.2%,82.0%,11.2%,0.8%,1.1%,0.1%,2.1%,2.7%,59.3%,5.3%,21.9%,18.2%,14.7%,12.2%,3.9%,13.0%,5.3%,6.7%,4.1%,21.1,3.2%,28.8%,38.2%,29.8%
Cross County,Arkansas,94.6%,82.5%,12.1%,0.1%,1.2%,0.0%,1.8%,2.3%,67.3%,28.5%,23.7%,15.4%,14.2%,14.4%,5.0%,8.4%,3.2%,7.3%,8.5%,23.1,3.5%,19.7%,47.3%,29.4%
Dallas County,Arkansas,96.0%,81.4%,14.6%,0.0%,1.7%,0.5%,0.9%,0.8%,69.1%,30.5%,33.6%,17.0%,14.9%,7.6%,2.8%,8.4%,3.3%,7.2%,5.1%,19.6,2.8%,19.4%,43.0%,34.9%
Desha County,Arkansas,84.5%,74.2%,10.3%,0.7%,3.5%,0.0%,8.1%,3.2%,75.7%,21.6%,29.3%,20.7%,13.8%,11.0%,3.1%,8.4%,1.9%,4.2%,7.8%,21.4,4.2%,26.6%,42.5%,26.7%
Drew County,Arkansas,92.6%,84.3%,8.3%,0.0%,1.9%,0.0%,3.4%,2.1%,70.7%,27.3%,21.1%,20.4%,16.7%,8.9%,3.6%,11.1%,1.9%,8.0%,8.3%,22.2,0.9%,18.0%,48.0%,33.1%
Faulkner County,Arkansas,93.3%,80.3%,12.9%,0.2%,2.1%,0.2%,0.9%,3.4%,66.8%,31.9%,16.2%,17.2%,14.5%,11.3%,4.0%,12.0%,7.2%,10.9%,6.8%,24.8,1.7%,19.0%,46.0%,33.4%
Franklin County,Arkansas,90.4%,79.5%,10.8%,0.9%,1.9%,0.0%,0.8%,6.0%,61.3%,37.6%,25.5%,9.8%,14.9%,8.8%,1.6%,12.2%,8.2%,11.1%,8.1%,24.6,0.9%,13.6%,42.2%,43.3%
Fulton County,Arkansas,89.3%,72.6%,16.6%,0.0%,3.8%,0.0%,2.5%,4.5%,59.8%,23.6%,27.9%,12.6%,15.0%,9.3%,4.0%,11.6%,3.6%,7.6%,8.3%,24.0,2.3%,16.7%,42.5%,38.5%
Garland County,Arkansas,93.1%,79.6%,13.5%,0.5%,1.6%,0.0%,1.7%,3.1%,85.8%,13.1%,18.4%,17.0%,20.7%,16.1%,4.2%,9.7%,2.1%,4.0%,7.8%,22.3,2.8%,24.0%,43.2%,29.9%
Grant County,Arkansas,96.2%,84.1%,12.1%,0.4%,0.7%,0.0%,1.5%,1.2%,41.1%,57.5%,16.3%,11.6%,8.6%,7.7%,5.7%,12.8%,13.3%,14.8%,9.1%,28.6,2.4%,13.2%,38.2%,46.3%
Greene County,Arkansas,94.7%,85.6%,9.2%,0.2%,0.2%,0.0%,1.6%,3.2%,79.9%,18.0%,19.9%,22.4%,19.2%,12.3%,4.9%,11.8%,3.4%,3.2%,3.1%,19.6,1.7%,20.0%,43.0%,35.4%
Hempstead County,Arkansas,92.8%,81.8%,10.9%,0.5%,2.0%,0.3%,1.8%,2.6%,72.5%,23.7%,22.1%,18.9%,17.4%,11.3%,4.2%,12.4%,4.1%,5.9%,3.8%,19.8,2.1%,20.8%,43.6%,33.6%
Hot Spring County,Arkansas,94.0%,81.5%,12.5%,0.5%,1.4%,0.2%,0.9%,3.0%,51.6%,47.0%,16.6%,11.8%,12.8%,10.3%,6.0%,16.4%,7.8%,9.2%,9.1%,26.8,1.2%,15.4%,38.8%,44.7%
Howard County,Arkansas,93.0%,78.3%,14.7%,0.7%,2.1%,0.0%,1.3%,2.9%,79.8%,17.1%,37.1%,19.5%,11.1%,7.9%,2.8%,4.3%,3.7%,9.0%,4.6%,18.5,1.8%,20.5%,40.8%,36.9%
Independence County,Arkansas,93.9%,79.9%,14.0%,0.2%,1.3%,0.1%,0.9%,3.5%,84.1%,14.7%,19.5%,20.1%,18.7%,14.6%,3.9%,10.8%,3.8%,4.2%,4.5%,20.9,0.7%,18.3%,46.0%,35.0%
Izard County,Arkansas,92.6%,81.6%,11.1%,0.1%,1.8%,0.0%,0.7%,4.8%,62.9%,35.8%,25.9%,10.0%,10.7%,13.9%,6.6%,13.2%,4.8%,7.5%,7.4%,24.0,0.9%,18.4%,43.2%,37.5%
Jackson County,Arkansas,95.1%,82.6%,12.5%,0.0%,0.5%,0.0%,0.8%,3.6%,74.3%,22.0%,28.0%,23.3%,14.0%,7.1%,3.4%,9.3%,6.6%,4.5%,3.9%,18.6,1.7%,23.5%,40.7%,34.0%
Jefferson County,Arkansas,94.0%,84.2%,9.8%,0.3%,1.4%,0.1%,2.7%,1.5%,84.3%,14.7%,15.9%,19.6%,21.6%,15.3%,4.3%,8.1%,4.0%,7.0%,4.3%,21.3,2.6%,26.0%,38.6%,32.8%
Johnson County,Arkansas,93.7%,77.0%,16.7%,1.1%,2.1%,0.0%,1.9%,1.3%,81.5%,17.0%,20.1%,20.6%,17.9%,16.8%,3.8%,10.7%,3.8%,2.1%,4.2%,19.5,1.7%,26.5%,41.0%,30.9%
Lafayette County,Arkansas,84.5%,69.8%,14.7%,2.3%,3.6%,0.0%,6.0%,3.6%,46.0%,35.0%,30.7%,9.7%,8.5%,8.1%,3.0%,16.7%,3.7%,14.0%,5.5%,23.0,1.4%,25.8%,31.3%,41.5%
Lawrence County,Arkansas,89.2%,77.4%,11.8%,0.0%,2.1%,0.4%,0.9%,7.4%,60.9%,37.5%,23.0%,13.7%,9.6%,8.5%,4.7%,13.2%,9.3%,11.1%,6.9%,25.9,1.8%,16.0%,41.4%,40.7%
Lee County,Arkansas,92.5%,80.1%,12.4%,0.9%,2.6%,0.1%,0.8%,3.1%,64.8%,34.5%,31.1%,7.7%,13.9%,17.0%,8.1%,13.9%,1.6%,3.4%,3.2%,18.7,5.2%,24.9%,39.7%,30.2%
Lincoln County,Arkansas,91.7%,78.2%,13.5%,0.0%,1.7%,0.2%,4.7%,1.7%,54.2%,42.9%,21.0%,12.8%,11.9%,6.9%,5.7%,19.7%,10.8%,6.0%,5.2%,24.1,3.2%,23.3%,29.9%,43.6%
Little River County,Arkansas,96.7%,82.0%,14.7%,0.1%,0.7%,0.0%,1.0%,1.6%,56.1%,17.4%,19.5%,15.9%,10.3%,7.2%,7.9%,15.5%,8.1%,10.0%,5.5%,24.7,1.3%,25.9%,35.1%,37.7%
Logan County,Arkansas,92.9%,79.4%,13.5%,0.1%,1.7%,0.1%,0.6%,4.6%,61.1%,35.3%,25.0%,11.0%,10.5%,9.7%,3.9%,12.4%,4.4%,12.2%,11.0%,27.5,1.6%,14.8%,37.6%,45.9%
Lonoke County,Arkansas,94.7%,82.2%,12.5%,0.1%,1.8%,0.1%,0.9%,2.3%,37.4%,61.4%,14.6%,9.7%,12.1%,12.8%,6.5%,18.0%,10.7%,10.4%,5.2%,26.1,1.9%,18.2%,46.9%,33.0%
Madison County,Arkansas,91.5%,76.0%,15.5%,0.0%,1.9%,0.0%,0.4%,6.2%,54.2%,45.0%,16.6%,8.9%,6.4%,11.5%,5.1%,17.9%,9.1%,15.5%,9.1%,28.8,1.0%,16.3%,37.6%,45.1%
Marion County,Arkansas,90.7%,80.8%,10.0%,0.7%,2.7%,0.0%,1.3%,4.6%,61.2%,33.9%,27.0%,10.7%,16.4%,11.2%,4.3%,12.3%,6.5%,6.8%,4.7%,21.6,0.9%,19.8%,36.4%,42.9%
Miller County,Arkansas,94.7%,84.0%,10.7%,0.5%,1.0%,0.1%,1.7%,2.0%,43.1%,5.6%,18.2%,21.4%,20.4%,13.4%,6.1%,10.7%,2.2%,3.2%,4.5%,19.4,1.4%,19.9%,47.4%,31.3%
Mississippi County,Arkansas,95.6%,81.5%,14.1%,0.2%,1.4%,0.1%,1.0%,1.7%,91.1%,5.5%,26.6%,18.5%,16.7%,10.0%,6.2%,11.9%,4.1%,3.1%,2.8%,18.1,4.1%,25.0%,42.1%,28.9%
Monroe County,Arkansas,95.3%,78.9%,16.4%,0.0%,2.6%,0.0%,0.6%,1.5%,59.2%,38.6%,40.0%,13.0%,6.5%,4.6%,4.0%,9.9%,6.8%,8.5%,6.7%,20.3,4.2%,24.9%,42.2%,28.7%
Montgomery County,Arkansas,89.3%,79.3%,10.0%,0.2%,6.6%,0.0%,0.1%,3.8%,59.3%,38.9%,28.8%,8.3%,17.1%,7.2%,2.5%,10.3%,3.4%,8.6%,13.8%,27.2,1.2%,9.1%,45.5%,44.1%
Nevada County,Arkansas,94.8%,85.7%,9.1%,0.0%,2.0%,0.0%,1.3%,2.0%,45.3%,46.8%,29.4%,8.7%,7.8%,13.6%,4.7%,13.1%,6.3%,10.4%,6.0%,23.8,1.3%,20.8%,39.9%,38.0%
Newton County,Arkansas,92.1%,74.5%,17.6%,0.3%,1.7%,0.0%,0.4%,5.6%,47.5%,51.9%,8.7%,7.7%,9.2%,9.8%,3.7%,21.5%,13.1%,11.2%,15.1%,34.5,2.8%,11.7%,41.4%,44.2%
Ouachita County,Arkansas,93.7%,78.2%,15.5%,0.3%,2.7%,0.0%,1.1%,2.2%,72.4%,27.3%,21.7%,18.1%,17.6%,15.5%,6.0%,8.3%,4.0%,4.0%,4.9%,20.2,3.0%,28.6%,43.3%,25.0%
Perry County,Arkansas,90.3%,77.1%,13.3%,0.2%,3.2%,0.0%,0.6%,5.6%,34.7%,64.1%,19.8%,5.4%,9.6%,9.7%,4.2%,9.7%,6.3%,17.9%,17.4%,31.9,0.1%,15.1%,44.9%,39.8%
Phillips County,Arkansas,94.7%,81.4%,13.3%,0.1%,2.0%,0.0%,0.7%,2.5%,79.4%,6.7%,34.3%,21.2%,13.6%,5.8%,2.2%,7.7%,2.3%,5.1%,7.7%,18.5,5.1%,29.5%,37.7%,27.8%
Pike County,Arkansas,93.6%,80.7%,12.9%,0.4%,1.8%,0.0%,1.7%,2.5%,60.0%,38.6%,25.9%,13.5%,9.3%,8.6%,4.0%,9.9%,5.3%,11.2%,12.3%,26.8,1.6%,13.5%,44.2%,40.6%
Poinsett County,Arkansas,94.6%,83.0%,11.6%,0.1%,1.6%,0.0%,0.4%,3.3%,56.4%,38.4%,27.7%,12.4%,10.3%,11.8%,6.6%,13.2%,5.8%,5.6%,6.6%,22.2,0.9%,19.7%,43.5%,35.8%
Polk County,Arkansas,93.5%,81.8%,11.7%,0.0%,1.8%,0.2%,1.9%,2.6%,87.6%,8.5%,26.3%,19.3%,20.3%,12.0%,2.3%,7.2%,2.8%,3.3%,6.6%,20.0,0.4%,16.7%,43.4%,39.5%
Pope County,Arkansas,94.2%,82.2%,12.0%,0.1%,1.1%,0.1%,1.1%,3.3%,85.2%,13.9%,22.2%,24.0%,18.1%,11.9%,5.2%,7.9%,3.1%,3.4%,4.2%,19.1,1.6%,16.7%,44.5%,37.3%
Prairie County,Arkansas,90.4%,81.4%,9.0%,0.0%,4.1%,0.0%,1.0%,4.5%,52.3%,46.8%,29.7%,7.9%,11.7%,9.0%,4.4%,11.9%,6.5%,11.0%,8.0%,22.9,0.1%,16.6%,53.0%,30.3%
Pulaski County,Arkansas,93.2%,82.5%,10.7%,1.2%,1.5%,0.1%,1.0%,3.0%,94.4%,4.9%,15.2%,17.5%,22.1%,19.1%,6.2%,12.0%,3.0%,2.5%,2.2%,19.2,2.5%,26.6%,45.2%,25.7%
Randolph County,Arkansas,92.1%,78.3%,13.8%,0.1%,1.3%,0.0%,2.8%,3.6%,65.8%,29.3%,19.0%,13.9%,14.6%,13.1%,3.6%,15.4%,1.8%,9.9%,8.8%,27.4,1.7%,18.2%,44.6%,35.6%
St. Francis County,Arkansas,95.9%,85.8%,10.1%,0.2%,1.0%,0.0%,0.2%,2.6%,74.6%,20.5%,27.4%,18.2%,15.5%,12.0%,2.3%,9.7%,4.0%,4.4%,6.6%,19.8,3.7%,28.3%,36.3%,31.6%
Saline County,Arkansas,93.9%,81.7%,12.2%,0.0%,0.8%,0.0%,0.6%,4.6%,40.5%,58.8%,11.5%,11.5%,12.0%,15.7%,9.8%,20.6%,7.9%,7.0%,3.9%,24.8,1.5%,16.3%,48.9%,33.3%
Scott County,Arkansas,88.0%,73.0%,15.0%,0.6%,2.5%,0.1%,2.1%,6.8%,74.4%,20.2%,28.3%,18.1%,13.2%,6.6%,2.5%,6.9%,5.4%,6.4%,12.6%,23.2,1.3%,12.0%,51.6%,35.1%
Searcy County,Arkansas,92.7%,77.9%,14.8%,0.6%,2.9%,0.0%,0.4%,3.4%,64.3%,34.7%,22.9%,10.6%,10.4%,17.3%,4.6%,12.4%,6.5%,3.8%,11.5%,25.8,2.0%,15.0%,35.8%,47.2%
Sebastian County,Arkansas,94.8%,82.1%,12.7%,0.4%,1.0%,0.2%,1.4%,2.2%,86.3%,10.4%,18.7%,23.6%,21.8%,15.2%,4.1%,9.3%,2.5%,2.5%,2.2%,17.5,2.0%,23.5%,44.1%,30.4%
Sevier County,Arkansas,94.4%,72.3%,22.1%,1.0%,1.2%,0.0%,0.7%,2.7%,78.2%,15.5%,23.4%,22.8%,19.2%,11.8%,2.9%,6.4%,3.2%,6.6%,3.7%,19.0,3.4%,25.9%,38.7%,32.1%
Sharp County,Arkansas,91.3%,77.6%,13.7%,0.0%,2.0%,0.0%,1.5%,5.3%,60.7%,36.2%,20.3%,13.4%,12.8%,12.9%,4.4%,14.9%,5.6%,5.8%,9.9%,27.2,0.5%,19.1%,42.6%,37.8%
Stone County,Arkansas,88.9%,75.6%,13.3%,0.0%,0.9%,0.0%,2.8%,7.4%,83.8%,15.5%,35.7%,14.0%,11.5%,8.7%,3.5%,9.6%,5.6%,7.6%,3.8%,19.1,2.1%,16.3%,48.5%,33.2%
Union County,Arkansas,93.6%,86.3%,7.2%,0.3%,0.8%,0.0%,3.5%,1.8%,93.7%,4.2%,24.4%,20.7%,18.6%,13.5%,4.2%,11.0%,2.6%,2.3%,2.7%,17.6,2.4%,23.5%,45.0%,29.1%
Van Buren County,Arkansas,86.8%,76.7%,10.1%,0.5%,1.6%,0.0%,6.3%,4.8%,69.2%,29.2%,18.7%,11.6%,12.1%,9.2%,6.7%,9.8%,8.5%,7.6%,15.9%,29.2,1.3%,21.7%,41.8%,35.2%
Washington County,Arkansas,92.8%,77.8%,15.0%,0.7%,2.5%,0.2%,0.7%,3.1%,82.5%,15.9%,16.5%,18.9%,18.6%,15.0%,6.1%,13.4%,4.2%,4.2%,3.1%,20.3,2.0%,22.5%,45.6%,29.9%
White County,Arkansas,93.1%,79.0%,14.1%,0.4%,2.9%,0.0%,0.5%,3.0%,75.5%,22.8%,23.8%,18.6%,13.7%,12.5%,4.2%,7.9%,5.0%,6.0%,8.2%,22.0,1.1%,18.3%,45.2%,35.4%
Woodruff County,Arkansas,94.5%,84.0%,10.5%,0.0%,2.5%,0.4%,2.1%,0.5%,69.4%,30.5%,38.0%,12.8%,16.6%,6.5%,1.8%,12.2%,7.4%,2.1%,2.5%,16.5,2.6%,19.7%,44.7%,33.0%
Yell County,Arkansas,92.9%,75.6%,17.4%,0.3%,1.4%,0.0%,1.5%,3.8%,57.5%,41.2%,23.0%,13.8%,16.7%,13.0%,3.4%,11.3%,7.1%,4.2%,7.4%,22.5,1.3%,20.9%,38.1%,39.8%
Alameda County,California,76.9%,66.3%,10.6%,11.3%,3.6%,1.5%,1.6%,5.1%,67.3%,32.3%,8.6%,12.9%,15.0%,13.9%,5.3%,15.8%,8.3%,10.6%,9.7%,27.9,4.2%,22.7%,39.7%,33.4%
Alpine County,California,68.8%,54.3%,14.5%,0.0%,10.1%,0.0%,0.8%,20.3%,58.6%,14.1%,28.4%,14.5%,3.5%,8.5%,0.0%,22.2%,17.7%,2.0%,3.2%,23.1,3.6%,13.7%,44.9%,37.8%
Amador County,California,90.4%,82.3%,8.1%,0.7%,2.4%,0.3%,1.3%,4.9%,71.2%,28.6%,19.6%,10.8%,15.3%,12.6%,6.0%,8.3%,5.2%,6.5%,15.6%,28.9,1.4%,13.4%,38.9%,46.3%
Butte County,California,86.3%,75.4%,10.8%,1.2%,3.7%,2.6%,1.0%,5.3%,89.8%,9.8%,25.3%,23.4%,14.5%,9.8%,4.3%,9.3%,4.5%,3.5%,5.5%,20.8,2.9%,18.1%,41.5%,37.5%
Calaveras County,California,87.7%,76.0%,11.7%,1.1%,2.6%,0.1%,0.8%,7.7%,52.6%,47.2%,17.0%,7.7%,7.4%,7.8%,5.0%,12.5%,10.3%,12.1%,20.2%,37.2,0.8%,11.2%,38.0%,50.0%
Colusa County,California,90.7%,72.3%,18.4%,0.5%,4.3%,0.9%,0.9%,2.7%,77.2%,22.5%,28.2%,15.3%,11.8%,12.4%,3.3%,7.9%,5.3%,7.3%,8.6%,22.4,4.1%,18.0%,40.0%,37.9%
Contra Costa County,California,82.0%,70.0%,12.0%,8.9%,1.7%,0.6%,1.1%,5.6%,59.9%,39.6%,9.8%,12.2%,12.6%,11.0%,4.8%,13.2%,7.6%,12.0%,16.9%,32.0,2.2%,17.5%,41.3%,39.0%
Del Norte County,California,86.0%,71.6%,14.3%,0.1%,4.9%,1.1%,1.3%,6.7%,93.1%,3.4%,37.2%,24.8%,12.9%,9.1%,3.8%,5.9%,1.6%,2.1%,2.6%,14.9,3.3%,22.9%,34.9%,38.8%
El Dorado County,California,87.2%,76.1%,11.1%,1.5%,2.0%,0.7%,1.1%,7.5%,55.0%,39.1%,14.6%,14.1%,13.8%,11.8%,4.8%,11.2%,7.5%,9.9%,12.4%,29.4,1.6%,12.6%,40.8%,45.1%
Fresno County,California,88.9%,76.3%,12.6%,1.5%,2.2%,0.6%,3.1%,3.7%,92.4%,7.4%,13.3%,15.6%,23.3%,18.0%,5.8%,12.3%,3.3%,3.7%,4.7%,21.5,3.5%,20.9%,42.1%,33.5%
Glenn County,California,86.8%,74.4%,12.4%,0.4%,3.4%,0.2%,0.6%,8.5%,72.0%,27.9%,28.7%,18.2%,11.3%,10.0%,4.7%,12.6%,4.6%,5.7%,4.3%,20.5,2.1%,17.9%,40.6%,39.4%
Humboldt County,California,83.2%,71.7%,11.5%,1.2%,5.1%,2.8%,1.1%,6.5%,97.7%,1.9%,26.5%,20.8%,15.0%,15.6%,4.8%,8.0%,2.2%,3.5%,3.7%,17.9,2.7%,22.7%,42.4%,32.2%
Imperial County,California,90.5%,79.0%,11.5%,1.0%,2.7%,0.3%,1.2%,4.3%,92.1%,5.1%,24.6%,20.0%,17.0%,14.9%,4.6%,9.2%,3.0%,2.3%,4.4%,19.2,2.7%,20.5%,36.7%,40.1%
Inyo County,California,84.9%,70.0%,14.9%,0.2%,5.4%,3.0%,1.3%,5.2%,89.8%,9.5%,43.2%,17.5%,13.2%,8.2%,1.6%,3.3%,2.2%,6.7%,4.1%,17.2,4.0%,20.4%,37.2%,38.4%
Kern County,California,92.2%,75.1%,17.1%,1.0%,1.8%,0.3%,1.8%,2.9%,92.7%,6.7%,16.0%,17.4%,19.3%,15.5%,4.9%,11.1%,3.5%,5.0%,7.2%,23.2,3.1%,19.7%,40.1%,37.1%
Kings County,California,89.6%,73.6%,16.0%,1.6%,2.8%,0.6%,1.9%,3.6%,79.8%,19.9%,19.4%,18.8%,17.6%,13.6%,4.3%,9.0%,6.3%,6.9%,4.0%,20.9,2.9%,18.6%,41.8%,36.7%
Lake County,California,87.0%,75.5%,11.5%,0.6%,3.3%,0.7%,1.3%,7.1%,76.1%,23.7%,22.6%,15.2%,11.2%,10.6%,3.5%,9.4%,5.3%,7.3%,14.9%,27.8,2.2%,19.7%,37.4%,40.7%
Lassen County,California,86.0%,75.5%,10.4%,1.2%,6.9%,0.6%,0.5%,4.9%,92.3%,5.6%,28.8%,18.9%,18.2%,14.8%,2.6%,6.2%,2.6%,4.1%,3.9%,17.9,3.0%,19.3%,33.0%,44.7%
Los Angeles County,California,83.4%,72.1%,11.3%,7.1%,2.9%,0.7%,1.3%,4.6%,92.4%,7.2%,8.7%,11.6%,14.0%,14.2%,5.5%,17.3%,7.5%,9.3%,11.7%,29.0,4.8%,23.2%,38.5%,33.6%
Madera County,California,90.3%,74.0%,16.2%,0.2%,1.8%,0.4%,1.4%,6.0%,66.6%,33.2%,15.0%,18.3%,13.2%,11.3%,4.4%,13.5%,7.2%,7.9%,9.3%,26.9,3.6%,17.0%,37.6%,41.8%
Marin County,California,76.2%,66.7%,9.5%,8.3%,3.3%,1.3%,1.2%,9.7%,65.1%,34.3%,12.8%,13.2%,12.9%,11.9%,5.0%,12.8%,8.5%,11.9%,11.0%,28.2,2.3%,22.6%,46.7%,28.5%
